E	dEsrc_dE
1.0e17	1.0400000001863454
1.2067926406393264e17	1.0400000060553138
1.4563484775012384e17	1.0400001108847283
1.7575106248547965e17	1.0400012587904173
2.1209508879201926e17	1.0400095898167094
2.559547922699533e17	1.0400523664508283
3.088843596477472e17	1.0402165101566982
3.727593720314953e17	1.040709447722517
4.4984326689694534e17	1.0419140903491968
5.428675439323859e17	1.0443903469325169
6.551285568595496e17	1.0487934584576737
7.90604321090767e17	1.0557263119831375
9.540954763499963e17	1.0655792282694325
1.1513953993264481e18	1.0784117069283434
1.3894954943731361e18	1.0939060386115
1.6768329368110031e18	1.1113942834616106
2.0235896477251638e18	1.129938575412433
2.4420530945486546e18	1.1484390349781313
2.9470517025518095e18	1.165768752309779
3.5564803062231214e18	1.1809531403210376
4.291934260128761e18	1.1933466415640064
5.179474679231223e18	1.20269149615295
6.250551925273976e18	1.209021219863666
7.543120063354608e18	1.2125100277778011
9.102981779915189e18	1.21337963129375
1.0985411419875617e19	1.2118803189200262
1.3257113655901108e19	1.208301496693388
1.5998587196060574e19	1.2029954598461174
1.9306977288832455e19	1.1968172065390201
2.3299518105153815e19	1.1955562237073125
2.8117686979742368e19	1.233777284725173
3.3932217718953296e19	1.4749263345755153
4.0949150623804195e19	3.1457311221994577
4.941713361323818e19	247.73883939817455
5.963623316594661e19	14898.498448288661
7.196856730011528e19	87687.8080171006
8.68511373751352e19	170081.54766211272
1.0481131341546832e20	207148.0066116547
1.264855216855301e20	210207.9550689786
1.5264179671752366e20	200083.4158854807
1.8420699693267164e20	187636.30642127327
2.222996482526191e20	176752.11178151242
2.6826957952797164e20	168322.9178995698
3.237457542817653e20	162173.0390768683
3.906939937054621e20	157863.5418276458
4.71486636345739e20	154920.31885956362
5.6898660290182814e20	152952.56822936732
6.866488450043026e20	151651.9184874155
8.28642772854686e20	150813.5918612067
1.0e21	150274.18342527546
