E	dEsrc_dE
1.0e17	1.0077000000161693
1.2067926406393264e17	1.0077000006038879
1.4563484775012384e17	1.007700012366752
1.7575106248547965e17	1.0077001536539816
2.1209508879201926e17	1.0077012595133938
2.559547922699533e17	1.0077073005045178
3.088843596477472e17	1.0077316916827372
3.727593720314953e17	1.0078080627892085
4.4984326689694534e17	1.0080011237401199
5.428675439323859e17	1.0084087155994008
6.551285568595496e17	1.0091480712700698
7.90604321090767e17	1.0103280525644178
9.540954763499963e17	1.012017754469984
1.1513953993264481e18	1.0142237871135065
1.3894954943731361e18	1.0168835952630082
1.6768329368110031e18	1.0198747812698443
2.0235896477251638e18	1.0230345813213613
2.4420530945486546e18	1.0261818611469715
2.9470517025518095e18	1.0291383793001798
3.5564803062231214e18	1.0317519631709415
4.291934260128761e18	1.0339195203452252
5.179474679231223e18	1.0355968819838592
6.250551925273976e18	1.0367870878380645
7.543120063354608e18	1.0375172296596984
9.102981779915189e18	1.037820997544918
1.0985411419875617e19	1.0377334933031852
1.3257113655901108e19	1.0372933098877157
1.5998587196060574e19	1.0365453052814138
1.9306977288832455e19	1.0355542765899588
2.3299518105153815e19	1.034624728062187
2.8117686979742368e19	1.036029005904576
3.3932217718953296e19	1.0510303218137476
4.0949150623804195e19	1.1164208284023982
4.941713361323818e19	1.3302264999000986
5.963623316594661e19	1.9841948398298228
7.196856730011528e19	4.107074998814835
8.68511373751352e19	9.110675633197964
1.0481131341546832e20	12.832937450741438
1.264855216855301e20	13.495667916874837
1.5264179671752366e20	12.964338714720219
1.8420699693267164e20	12.19510247789591
2.222996482526191e20	11.50265062268119
2.6826957952797164e20	10.961366802668758
3.237457542817653e20	10.565468479490821
3.906939937054621e20	10.287258330166297
4.71486636345739e20	10.097232096265849
5.6898660290182814e20	9.97029533815209
6.866488450043026e20	9.88700833520848
8.28642772854686e20	9.833117003579387
1.0e21	9.798578125409854
