0.19
E	mod_factor_ms
1.0e17	0.06642325227359025
1.0186289902446845e17	0.06642325248638757
1.037605019766914e17	0.06642325276974027
1.0569345535579874e17	0.06642325314514497
1.076624177045489e17	0.06642325364004678
1.0966805983368696e17	0.0664232542893092
1.1171106505048219e17	0.06642325513700062
1.1379212939153186e17	0.06642325623855322
1.1591196185988858e17	0.0664232576633592
1.1807128466661867e17	0.06642325949787582
1.2027083347685144e17	0.06642326184932092
1.2251135766041178e17	0.06642326485004814
1.2479362054713062e17	0.06642326866270139
1.27118399686903e17	0.06642327348625694
1.2948648711459022e17	0.0664232795630711
1.3189868961986746e17	0.0664232871870606
1.3435582902208262e17	0.06642329671315121
1.3685874245025149e17	0.06642330856813951
1.3940828262825814e17	0.06642332326311784
1.4200531816536818e17	0.06642334140762074
1.4465073385216413e17	0.06642336372565376
1.4734543096198374e17	0.06642339107376993
1.5009032755797334e17	0.06642342446135796
1.5288635880587357e17	0.06642346507330649
1.557344772926135e17	0.06642351429520137
1.5863565335085862e17	0.06642357374120841
1.6159087538959226e17	0.06642364528477993
1.6460115023085498e17	0.06642373109231098
1.676675034527694e17	0.0664238336598511
1.7079097973894304e17	0.06642395585295692
1.739726432343799e17	0.06642410094974173
1.7721357790803658e17	0.06642427268715093
1.80514887922111e17	0.0664244753104542
1.8387769800823232e17	0.06642471362591008
1.8730315385064422e17	0.06642499305651309
1.907924224765265e17	0.06642531970069097
1.9434669265360144e17	0.0664257003937682
1.9796717529513366e17	0.06642614277196202
2.0165510387247443e17	0.06642665533862303
2.0541173483530726e17	0.06642724753237844
2.0923834803969792e17	0.06642792979677753
2.1313624718414333e17	0.06642871365098714
2.1710676025372714e17	0.06642961176102656
2.2115123997254886e17	0.06643063801097743
2.2527106426459734e17	0.06643180757355734
2.2946763672319408e17	0.0664331369793923
2.3374238708918125e17	0.06643464418428474
2.380967717380368e17	0.06643634863373028
2.4253227417603555e17	0.06643827132390884
2.4705040554568205e17	0.06644043485834494
2.5165270514053994e17	0.06644286349941543
2.563407409296515e17	0.06644558321387213
