E	mod_factor
1.0e17	527.405837362892
1.0186289902446845e17	527.4058375970477
1.037605019766914e17	527.4058379206953
1.0569345535579874e17	527.4058383653905
1.076624177045489e17	527.4058389728456
1.0966805983368696e17	527.4058397978831
1.1171106505048219e17	527.40584091214
1.1379212939153186e17	527.4058424086865
1.1591196185988858e17	527.4058444077533
1.1807128466661867e17	527.4058470638281
1.2027083347685144e17	527.4058505743067
1.2251135766041178e17	527.4058551900903
1.2479362054713062e17	527.405861228404
1.27118399686903e17	527.4058690882582
1.2948648711459022e17	527.405879268983
1.3189868961986746e17	527.405892392325
1.3435582902208262e17	527.4059092286515
1.3685874245025149e17	527.4059307278416
1.3940828262825814e17	527.4059580555387
1.4200531816536818e17	527.4059926354362
1.4465073385216413e17	527.406036198365
1.4734543096198374e17	527.4060908389786
1.5009032755797334e17	527.406159080858
1.5288635880587357e17	527.4062439509084
1.557344772926135e17	527.4063490639745
1.5863565335085862e17	527.4064787185316
1.6159087538959226e17	527.4066380043927
1.6460115023085498e17	527.4068329233306
1.676675034527694e17	527.4070705234606
1.7079097973894304e17	527.4073590482175
1.739726432343799e17	527.4077081006748
1.7721357790803658e17	527.4081288238646
1.80514887922111e17	527.4086340976603
1.8387769800823232e17	527.4092387526287
1.8730315385064422e17	527.4099598011261
1.907924224765265e17	527.4108166857195
1.9434669265360144e17	527.4118315448092
1.9796717529513366e17	527.4130294951212
2.0165510387247443e17	527.4144389304818
2.0541173483530726e17	527.4160918360071
2.0923834803969792e17	527.418024116621
2.1313624718414333e17	527.4202759384184
2.1710676025372714e17	527.4228920812186
2.2115123997254886e17	527.4259223002441
2.2527106426459734e17	527.4294216945435
2.2946763672319408e17	527.4334510796053
2.3374238708918125e17	527.4380773611113
2.380967717380368e17	527.4433739066388
2.4253227417603555e17	527.4494209117921
2.4705040554568205e17	527.4563057569717
2.5165270514053994e17	527.4641233508394
2.563407409296515e17	527.4729764562204
2.6111611009174515e17	527.4829759941853
2.659804395593764e17	527.4942413217641
2.709353865732049e17	527.5069004788661
2.7598263924661917e17	527.5210903996989
2.811239171408467e17	527.536957084296
2.86360971850811e17	527.5546557255374
2.916955876018805e17	527.5743507874032
2.9712958185773344e17	527.5962160303436
3.026648059395683e17	527.6204344795043
3.0830314565682835e17	527.6471983325994
3.140465219496749e17	527.6767088035922
3.198968915434525e17	527.7091758995673
3.25856247615323e17	527.7448181278932
3.319266204733183e17	527.7838621319946
3.3811007824806957e17	527.8265422532394
3.4440872759738234e17	527.8731000188476
3.508247144239782e17	527.9237835543573
3.573602246065796e17	527.9788469207826
3.6401748474461376e17	528.0385493772992
3.7079876291681574e17	528.1031545697754
3.777063694539372e17	528.1729296474073
3.847426577258498e17	528.2481443092664
3.919100249433418e17	528.3290697833717
3.992109129748054e17	528.4159777414573
4.066478091781846e17	528.509139153192
4.1422324724839066e17	528.6088230843754
4.219398080805024e17	528.7152954426225
4.298001206490781e17	528.828817676307
4.3780686290381754e17	528.9496454325208
4.459627626819087e17	529.0780271775204
4.5427059863740614e17	529.2142027887409
4.627332011878693e17	529.358402121956
4.713534534786897e17	529.5108435595905
4.801342923653465e17	529.6717325502241
