E	mod_factor
1.0e17	1.922269074534845
1.097498765493059e17	1.9324668964259692
1.2045035402587787e17	1.9472636807603294
1.3219411484660286e17	1.9680085596916554
1.450828778495943e17	1.996204732563941
1.5922827933410874e17	2.0334645290070785
1.747528400007683e17	2.081436945067497
1.9179102616724928e17	2.1416831291280016
2.104904144512013e17	2.215451984594627
2.310129700083158e17	2.3032707960499383
2.5353644939701165e17	2.4042106115438564
2.7825594022071146e17	2.514618367784342
3.0538555088334125e17	2.6260711543299786
3.351602650938848e17	2.722456965659366
3.6783797718286195e17	2.77683015103543
4.03701725859655e17	2.7508229948900476
4.430621457583887e17	2.6032014151298384
4.8626015800653734e17	2.314027566642335
5.3366992312063014e17	1.9121973294681696
5.857020818056673e17	1.4715172891961035
6.428073117284346e17	1.0698019962005325
7.05480231071863e17	0.7544360742457291
7.742636826811278e17	0.6222937204815983
8.497534359086473e17	0.3204696293220931
9.32603346883218e17	2.2132358177442277e-11
1.0235310218990268e18	1.1349415593149248e-25
1.1233240329780311e18	1.577428265222454e-31
1.2328467394420634e18	4.773704945793232e-44
1.3530477745798075e18	1.0503429734007565e-53
1.4849682622544696e18	2.3202929503153156e-62
1.6297508346206403e18	3.2419754735505286e-70
1.7886495290574351e18	2.5702027188358402e-77
1.9630406500402765e18	9.225540543974434e-83
2.154434690031878e18	7.597075938293981e-91
2.364489412645407e18	5.184127003860435e-98
2.5950242113997425e18	2.1539343266684444e-103
2.8480358684357934e18	3.260992183115735e-110
3.125715849688235e18	2.8853087573357036e-116
3.430469286314926e18	6.792298480480216e-120
3.7649358067924557e18	1.5607488333471207e-125
4.1320124001153347e18	8.266977269028312e-130
4.5348785081285914e18	5.738526537937322e-132
4.977023564332093e18	5.640075843254952e-139
5.462277217684337e18	3.604567380817419e-142
5.994842503189421e18	1.9764626967198632e-145
6.579332246575656e18	8.9244946588848e-150
7.220809018385456e18	2.3296733296441966e-152
7.924828983539186e18	2.2859491693755337e-156
8.697490026177799e18	4.4178301413421664e-160
9.545484566618327e18	3.8257487865027466e-162
1.0476157527896662e19	1.035668959371731e-166
1.1497569953977403e19	0.0
1.2618568830660184e19	0.0
1.3848863713938745e19	0.0
1.5199110829529393e19	0.0
1.6681005372000557e19	0.0
1.8307382802953697e19	0.0
2.009233002565054e19	0.0
2.205130739903041e19	0.0
2.4201282647943836e19	0.0
2.6560877829466948e19	0.0
2.9150530628251697e19	0.0
3.1992671377973846e19	0.0
3.5111917342151418e19	0.0
3.85352859371052e19	0.0
4.229242874389499e19	0.0
4.641588833612792e19	0.0
5.094138014816365e19	0.0
5.590810182512223e19	0.0
6.135907273413188e19	0.0
6.734150657750801e19	0.0
7.390722033525775e19	0.0
8.111308307896889e19	0.0
8.902150854450356e19	0.0
9.770099572992246e19	0.0
1.0722672220103254e20	0.0
1.1768119524349942e20	0.0
1.2915496650148826e20	0.0
1.4174741629268076e20	0.0
1.555676143930466e20	0.0
1.7073526474706888e20	0.0
1.873817422860387e20	0.0
2.056512308348643e20	0.0
2.2570197196339167e20	0.0
2.477076355991714e20	0.0
2.718588242732951e20	0.0
2.983647240283334e20	0.0
3.2745491628777315e20	0.0
3.5938136638046405e20	0.0
3.944206059437648e20	0.0
4.328761281083062e20	0.0
4.7508101621028127e20	0.0
5.2140082879996736e20	0.0
5.72236765935022e20	0.0
6.280291441834272e20	0.0
6.892612104349681e20	0.0
7.56463327554629e20	0.0
8.302175681319769e20	0.0
9.111627561154869e20	0.0
1.0e21	0.0
