E	mod_factor
1.0e17	276378.89348934224
1.0186289902446845e17	276378.8934902006
1.037605019766914e17	276378.8934914343
1.0569345535579874e17	276378.8934931969
1.076624177045489e17	276378.89349569794
1.0966805983368696e17	276378.8934992246
1.1171106505048219e17	276378.89350416424
1.1379212939153186e17	276378.8935110398
1.1591196185988858e17	276378.89352055115
1.1807128466661867e17	276378.893533627
1.2027083347685144e17	276378.89355149673
1.2251135766041178e17	276378.89357577346
1.2479362054713062e17	276378.8936085636
1.27118399686903e17	276378.89365260425
1.2948648711459022e17	276378.8937114208
1.3189868961986746e17	276378.89378954325
1.3435582902208262e17	276378.89389274915
1.3685874245025149e17	276378.8940283708
1.3940828262825814e17	276378.89420566516
1.4200531816536818e17	276378.8944362534
1.4465073385216413e17	276378.89473465295
1.4734543096198374e17	276378.89511890005
1.5009032755797334e17	276378.8956113036
1.5288635880587357e17	276378.89623930305
1.557344772926135e17	276378.89703649556
1.5863565335085862e17	276378.89804382157
1.6159087538959226e17	276378.8993109307
1.6460115023085498e17	276378.9008977529
1.676675034527694e17	276378.90287630516
1.7079097973894304e17	276378.9053327329
1.739726432343799e17	276378.9083696362
1.7721357790803658e17	276378.91210866557
1.80514887922111e17	276378.9166934599
1.8387769800823232e17	276378.92229289067
1.8730315385064422e17	276378.9291046779
1.907924224765265e17	276378.93735936406
1.9434669265360144e17	276378.9473246861
1.9796717529513366e17	276378.9593103342
2.0165510387247443e17	276378.9736731254
2.0541173483530726e17	276378.99082258105
2.0923834803969792e17	276379.0112269295
2.1313624718414333e17	276379.0354195018
2.1710676025372714e17	276379.0640055372
2.2115123997254886e17	276379.09766935586
2.2527106426459734e17	276379.13718190737
2.2946763672319408e17	276379.18340862886
2.3374238708918125e17	276379.2373176029
2.380967717380368e17	276379.29998795985
2.4253227417603555e17	276379.3726184721
2.4705040554568205e17	276379.45653628255
2.5165270514053994e17	276379.55320569745
2.563407409296515e17	276379.664236969
2.6111611009174515e17	276379.7913949917
2.659804395593764e17	276379.9366078156
