E	mod_factor
1.0e17	2442.090522799958
1.0186289902446845e17	2442.090522976452
1.037605019766914e17	2442.090523226206
1.0569345535579874e17	2442.090523577361
1.076624177045489e17	2442.090524067977
1.0966805983368696e17	2442.09052474915
1.1171106505048219e17	2442.0905256891074
1.1379212939153186e17	2442.090526978393
1.1591196185988858e17	2442.0905287363876
1.1807128466661867e17	2442.0905311195847
1.2027083347685144e17	2442.0905343319187
1.2251135766041178e17	2442.090538637615
1.2479362054713062e17	2442.0905443770835
1.27118399686903e17	2442.0905519863963
1.2948648711459022e17	2442.0905620211615
1.3189868961986746e17	2442.0905751853998
1.3435582902208262e17	2442.0905923665523
1.3685874245025149e17	2442.090614677303
1.3940828262825814e17	2442.090643505712
1.4200531816536818e17	2442.0906805745085
1.4465073385216413e17	2442.090728011233
1.4734543096198374e17	2442.0907884304347
1.5009032755797334e17	2442.0908650297843
1.5288635880587357e17	2442.0909617015054
1.557344772926135e17	2442.091083161238
1.5863565335085862e17	2442.091235095977
1.6159087538959226e17	2442.0914243331645
1.6460115023085498e17	2442.0916590330153
1.676675034527694e17	2442.091948905951
1.7079097973894304e17	2442.092305457217
1.739726432343799e17	2442.0927422608875
1.7721357790803658e17	2442.093275264787
1.80514887922111e17	2442.09392312841
1.8387769800823232e17	2442.094707595399
1.8730315385064422e17	2442.095653901865
1.907924224765265e17	2442.0967912218694
1.9434669265360144e17	2442.098153150807
1.9796717529513366e17	2442.0997782269947
2.0165510387247443e17	2442.101710491879
2.0541173483530726e17	2442.104000087966
2.0923834803969792e17	2442.106703893791
2.1313624718414333e17	2442.1098861944347
2.1710676025372714e17	2442.1136193851535
2.2115123997254886e17	2442.1179847056083
2.2527106426459734e17	2442.1230730011994
2.2946763672319408e17	2442.128985507213
2.3374238708918125e17	2442.1358346511415
2.380967717380368e17	2442.143744867476
2.4253227417603555e17	2442.1528534188074
2.4705040554568205e17	2442.1633112163668
2.5165270514053994e17	2442.1752836323303
2.563407409296515e17	2442.1889512958974
2.6111611009174515e17	2442.204510864315
2.659804395593764e17	2442.2221757598045
2.709353865732049e17	2442.2421768627055
2.7598263924661917e17	2442.2647631509576
2.811239171408467e17	2442.2902022759004
2.86360971850811e17	2442.318781063922
2.916955876018805e17	2442.3508059340165
2.9712958185773344e17	2442.386603220639
3.026648059395683e17	2442.426519392168
3.0830314565682835e17	2442.4709211555187
3.140465219496749e17	2442.5201954370777
3.198968915434525e17	2442.5747492320647
3.25856247615323e17	2442.6350093136084
3.319266204733183e17	2442.701421795241
3.3811007824806957e17	2442.7744515395743
3.4440872759738234e17	2442.854581408366
3.508247144239782e17	2442.94231135014
3.573602246065796e17	2443.0381573208247
3.6401748474461376e17	2443.1426500372986
3.7079876291681574e17	2443.2563335617865
3.777063694539372e17	2443.379763718789
3.847426577258498e17	2443.5135063449547
3.919100249433418e17	2443.658135376869
3.992109129748054e17	2443.8142307812454
4.066478091781846e17	2443.9823763304103
4.1422324724839066e17	2444.163157235516
4.219398080805024e17	2444.3571576398176
4.298001206490781e17	2444.5649579869946
4.3780686290381754e17	2444.7871322712194
4.459627626819087e17	2445.024245181216
4.5427059863740614e17	2445.276849152898
4.627332011878693e17	2445.5454813427723
4.713534534786897e17	2445.830660533117
4.801342923653465e17	2446.1328839902676
4.89078709413959e17	2446.4526242837924
4.981897519205145e17	2446.79032608675
5.074705239490476e17	2447.146402973448
5.169241873891593e17	2447.521234225245
5.265539630332777e17	2447.9151616661993
5.3636313167392454e17	2448.3284865441015
5.4635503522148646e17	2448.761466467557
5.5653307784276634e17	2449.214312417953
5.6690072712074336e17	2449.6871858575805
5.774615152359802e17	2450.1801959325126
5.882190401699968e17	2450.693396805871
5.991769669310612e17	2451.2267851125794
6.103390288028646e17	2451.7802975687264
6.217090286163834e17	2452.3538087322017
6.332908400455101e17	2452.9471289401645
6.450884089267712e17	2453.5600024105174
6.57105754603627e17	2454.1921055506027
6.69346971295864e17	2454.8430454568093
6.818162294944493e17	2455.5123586085697
6.945177773823689e17	2456.199509795041
7.074559422819908e17	2456.9038912436113
7.20635132129306e17	2457.624821979651
7.340598369757197e17	2458.361547407541
7.477346305177612e17	2459.1132391338297
7.616641716552892e17	2459.8789950026326
