E	mod_factor
1.0e17	5.034517971625931
1.097498765493059e17	5.036681372294974
1.2045035402587787e17	5.0405309051614315
1.3219411484660286e17	5.047024318999856
1.450828778495943e17	5.057454003696014
1.5922827933410874e17	5.073472124383061
1.747528400007683e17	5.097086586966253
1.9179102616724928e17	5.130623403888583
2.104904144512013e17	5.176653331428493
2.310129700083158e17	5.237879908440369
2.5353644939701165e17	5.3169805130611145
2.7825594022071146e17	5.416380750921375
3.0538555088334125e17	5.537925119143447
3.351602650938848e17	5.682384068846708
3.6783797718286195e17	5.848712143622369
4.03701725859655e17	6.032952751864139
4.430621457583887e17	6.226695705822637
4.8626015800653734e17	6.415084922407243
5.3366992312063014e17	6.574639806889249
5.857020818056673e17	6.671727047620898
6.428073117284346e17	6.66350645998073
7.05480231071863e17	6.504314227209883
7.742636826811278e17	6.160092955062814
8.497534359086473e17	5.6280217617830015
9.32603346883218e17	4.94845380950547
1.0235310218990268e18	4.195561212531099
1.1233240329780311e18	3.4506817203184394
1.2328467394420634e18	2.7769103360702223
1.3530477745798075e18	2.2082846077660707
1.4849682622544696e18	1.7628139523970103
1.6297508346206403e18	1.520638930318411
1.7886495290574351e18	2.0499918483638266
1.9630406500402765e18	0.25931756517163407
2.154434690031878e18	5.5999520575327434e-8
2.364489412645407e18	1.8937373560873173e-14
2.5950242113997425e18	3.281772590989817e-19
2.8480358684357934e18	8.678630686569364e-26
3.125715849688235e18	3.9437792656592872e-31
3.430469286314926e18	6.613862751986143e-36
3.7649358067924557e18	6.736888311361146e-40
4.1320124001153347e18	9.39633685314321e-44
4.5348785081285914e18	5.493089423256207e-49
4.977023564332093e18	1.2481807835500687e-53
5.462277217684337e18	1.409913668942322e-57
5.994842503189421e18	6.012957628777533e-61
6.579332246575656e18	1.4625457116445551e-64
7.220809018385456e18	3.56423550336971e-68
7.924828983539186e18	1.2400275818784768e-71
8.697490026177799e18	4.495310369618475e-75
9.545484566618327e18	2.793406345891468e-78
1.0476157527896662e19	1.5916934585752914e-81
1.1497569953977403e19	2.7066169731465814e-84
1.2618568830660184e19	1.1509468143816288e-85
1.3848863713938745e19	2.7556097002058897e-90
1.5199110829529393e19	6.3694482684123806e-93
1.6681005372000557e19	2.8492148633550847e-94
1.8307382802953697e19	1.018489910912222e-98
2.009233002565054e19	2.1202947881867078e-100
2.205130739903041e19	8.882907241307262e-104
2.4201282647943836e19	2.1014304998776108e-106
2.6560877829466948e19	1.3636301998208614e-107
2.9150530628251697e19	8.918695637297114e-112
3.1992671377973846e19	7.400466559727112e-114
3.5111917342151418e19	9.987267193034957e-116
3.85352859371052e19	4.7582327222402807e-119
4.229242874389499e19	4.593391926359942e-121
4.641588833612792e19	2.483277612006206e-122
5.094138014816365e19	1.1561203330554788e-124
5.590810182512223e19	1.6995784125455936e-125
6.135907273413188e19	7.754539603201103e-127
6.734150657750801e19	2.7603098180911383e-127
7.390722033525775e19	5.550623675781456e-128
8.111308307896889e19	1.720414260159666e-128
8.902150854450356e19	8.991250645056835e-129
9.770099572992246e19	5.403292328248698e-129
1.0722672220103254e20	2.6348450400097732e-129
1.1768119524349942e20	2.183584578709016e-129
1.2915496650148826e20	1.530810951819581e-129
1.4174741629268076e20	1.1525856738481491e-129
1.555676143930466e20	9.197191677334575e-130
1.7073526474706888e20	7.672602238850326e-130
1.873817422860387e20	6.621107695999158e-130
2.056512308348643e20	5.866831040553636e-130
2.2570197196339167e20	5.30971090258264e-130
2.477076355991714e20	4.889664391671464e-130
2.718588242732951e20	4.568290988650806e-130
2.983647240283334e20	4.3198752236903996e-130
3.2745491628777315e20	4.154726847895726e-130
3.5938136638046405e20	3.992102137926208e-130
3.944206059437648e20	3.866121469222946e-130
4.328761281083062e20	3.768313460266207e-130
4.7508101621028127e20	3.692209099301302e-130
5.2140082879996736e20	3.633209726006877e-130
5.72236765935022e20	3.5874681052995726e-130
6.280291441834272e20	3.5520388226987827e-130
6.892612104349681e20	3.5247880343946606e-130
7.56463327554629e20	3.5037810199035753e-130
8.302175681319769e20	3.48786206178125e-130
9.111627561154869e20	3.475829462560335e-130
1.0e21	3.466769293077297e-130
