E	mod_factor
1.0e17	67155.46844423615
1.0186289902446845e17	67155.46844469396
1.037605019766914e17	67155.46844535151
1.0569345535579874e17	67155.46844628955
1.076624177045489e17	67155.46844761878
1.0966805983368696e17	67155.46844948998
1.1171106505048219e17	67155.4684521075
1.1379212939153186e17	67155.4684557456
1.1591196185988858e17	67155.46846077117
1.1807128466661867e17	67155.46846767116
1.2027083347685144e17	67155.4684770882
1.2251135766041178e17	67155.46848986491
1.2479362054713062e17	67155.4685071006
1.27118399686903e17	67155.46853021963
1.2948648711459022e17	67155.46856105812
1.3189868961986746e17	67155.46860196939
1.3435582902208262e17	67155.4686559521
1.3685874245025149e17	67155.4687268078
1.3940828262825814e17	67155.46881932963
1.4200531816536818e17	67155.46893952809
1.4465073385216413e17	67155.46909490261
1.4734543096198374e17	67155.46929476294
1.5009032755797334e17	67155.4695506062
1.5288635880587357e17	67155.46987656278
1.557344772926135e17	67155.47028991565
1.5863565335085862e17	67155.47081170113
1.6159087538959226e17	67155.47146740467
1.6460115023085498e17	67155.47228776074
1.676675034527694e17	67155.47330966237
1.7079097973894304e17	67155.47457720076
1.739726432343799e17	67155.47614283486
1.7721357790803658e17	67155.47806871081
1.80514887922111e17	67155.48042813437
1.8387769800823232e17	67155.48330721403
1.8730315385064422e17	67155.48680667666
1.907924224765265e17	67155.49104386727
1.9434669265360144e17	67155.49615494345
1.9796717529513366e17	67155.5022972643
2.0165510387247443e17	67155.50965198156
2.0541173483530726e17	67155.51842683308
2.0923834803969792e17	67155.52885914115
2.1313624718414333e17	67155.54121900948
2.1710676025372714e17	67155.55581271344
2.2115123997254886e17	67155.57298627861
2.2527106426459734e17	67155.5931292306
2.2946763672319408e17	67155.6166785023
2.3374238708918125e17	67155.6441224817
2.380967717380368e17	67155.67600517457
2.4253227417603555e17	67155.71293045633
2.4705040554568205e17	67155.75556638271
2.5165270514053994e17	67155.80464952595
2.563407409296515e17	67155.86098929841
2.6111611009174515e17	67155.92547222211
2.659804395593764e17	67155.99906609947
2.709353865732049e17	67156.08282404258
2.7598263924661917e17	67156.17788830432
2.811239171408467e17	67156.28549386664
2.86360971850811e17	67156.40697172807
2.916955876018805e17	67156.54375183774
2.9712958185773344e17	67156.69736562218
3.026648059395683e17	67156.86944804757
3.0830314565682835e17	67157.06173916339
3.140465219496749e17	67157.27608507783
3.198968915434525e17	67157.51443830848
3.25856247615323e17	67157.77885746156
3.319266204733183e17	67158.07150619764
3.3811007824806957e17	67158.39465143527
3.4440872759738234e17	67158.75066076011
3.508247144239782e17	67159.14199900512
3.573602246065796e17	67159.57122397692
3.6401748474461376e17	67160.04098129875
3.7079876291681574e17	67160.553998368
3.777063694539372e17	67161.11307740955
3.847426577258498e17	67161.72108762666
3.919100249433418e17	67162.38095645567
3.992109129748054e17	67163.09565993774
4.066478091781846e17	67163.86821222249
4.1422324724839066e17	67164.70165424187
4.219398080805024e17	67165.59904157644
4.298001206490781e17	67166.56343156456
4.3780686290381754e17	67167.59786969937
4.459627626819087e17	67168.70537536548
4.5427059863740614e17	67169.88892698038
4.627332011878693e17	67171.15144661523
4.713534534786897e17	67172.4957841336
4.801342923653465e17	67173.92470098138
4.89078709413959e17	67175.44085364327
4.981897519205145e17	67177.04677690013
5.074705239490476e17	67178.74486694252
5.169241873891593e17	67180.53736445443
5.265539630332777e17	67182.42633772358
5.3636313167392454e17	67184.41366590397
5.4635503522148646e17	67186.50102250319
5.5653307784276634e17	67188.68985917143
5.6690072712074336e17	67190.98138991752
5.774615152359802e17	67193.37657580314
5.882190401699968e17	67195.87611021377
5.991769669310612e17	67198.48040478937
6.103390288028646e17	67201.18957610225
6.217090286163834e17	67204.00343311585
6.332908400455101e17	67206.92146554113
6.450884089267712e17	67209.94283315651
6.57105754603627e17	67213.0663560541
6.69346971295864e17	67216.29050603803
6.818162294944493e17	67219.6133990475
6.945177773823689e17	67223.03278877454
7.074559422819908e17	67226.5460613972
7.20635132129306e17	67230.15023162088
7.340598369757197e17	67233.84193981986
7.477346305177612e17	67237.61745059685
7.616641716552892e17	67241.47265234846
7.758532060787812e17	67245.40305842023
7.903065678861364e17	67249.40379568163
8.050291812295973e17	67253.46967572227
8.200260619934097e17	67257.59506429933
8.353023195026788e17	67261.77402254098
8.508631582640564e17	67266.00024642701
8.66713879738926e17	67270.26708870787
8.82859884149515e17	67274.5675682596
8.993066723187596e17	67278.8943806673
9.160598475443729e17	67283.23990975953
9.33125117507824e17	67287.59624022795
9.505082962189473e17	67291.95517113041
9.682153059967096e17	67296.30823034783
9.862521794868764e17	67300.64668983796
1.0046250617173444e18	67304.96158169396
1.0233402121916422e18	67309.24371496707
1.0424040070215537e18	67313.48369302384
1.0618229410993868e18	67317.67192517029
1.0816036303107094e18	67321.79866451144
1.1017528137883828e18	67325.85400904086
1.1222773562085094e18	67329.82792851624
1.1431842501291479e18	67333.71026925581
1.1644806183726902e18	67337.49079206231
1.1861737164524792e18	67341.1591855746
1.2082709350447734e18	67344.70511248932
1.2307798025066683e18	67348.11817881669
1.2537079874409196e18	67351.387974273
1.2770633013086395e18	67354.50410982379
1.3008537010905733e18	67357.45623243632
1.3250872919979512e18	67360.23404079284
1.3497723302339474e18	67362.82730483962
1.3749172258064205e18	67365.22584919221
1.4005305453932168e18	67367.41964044086
1.4266210152607414e18	67369.39874819516
1.4531975242368955e18	67371.15342176691
1.480269126739504e18	67372.67403628275
1.5078450458610542e18	67373.95116571123
1.5359346765108954e18	67374.97554165946
1.5645475886161021e18	67375.73813638298
1.5936935303817761e18	67376.23012300575
1.623382431612275e18	67376.44293943864
1.6536244070941855e18	67376.36825343304
1.6844297600423153e18	67375.99799511726
1.7158089856099996e18	67375.32437732216
1.7477727744646843e18	67374.33986387764
1.780332016430112e18	67373.03724763734
1.8134978041965028e18	67371.40960815079
1.847281437099636e18	67369.45033549496
1.8816944249705518e18	67367.15316603701
1.9167484920568207e18	67364.5121316006
1.952455581016861e18	67361.52161374383
1.9888278569888036e18	67358.17633679677
2.0258777117350213e18	67354.47134625095
2.0636177678638566e18	67350.40207179512
2.102060883130167e18	67345.96428074653
2.1412201548157315e18	67341.15413500785
2.1811089241915154e18	67335.96813939013
2.2217407810628915e18	67330.40318255973
2.2631295683995297e18	67324.45651482546
2.3052893870517012e18	67318.12579059908
2.348234600554281e18	67311.40904562897
2.3919798400202373e18	67304.30470821183
2.436540009125456e18	67296.81160382247
2.481930289186258e18	67288.92895745106
2.5281661443314954e18	67280.65640144222
2.575263326771209e18	67271.99399130825
2.6232378821631237e18	67262.94216533702
2.672106155079427e18	67253.5018023384
2.721884794575185e18	67243.67418401407
2.772590759860481e18	67233.46103730291
2.824241326078424e18	67222.86450316604
2.876854090190597e18	67211.88713861724
2.9304469769721385e18	67200.53193190489
2.9850382451187415e18	67188.80229634313
3.0406464934670684e18	67176.70206836834
3.0972906673314007e18	67164.2355048778
3.154990064958095e18	67151.4072834556
3.2137643441002757e18	67138.22249327907
3.2736335287152343e18	67124.68660762318
3.3346180157863695e18	67110.80552599698
3.396738582272203e18	67096.58552332479
3.460016392185123e18	67082.03325443473
3.5244730038015877e18	67067.15573890472
3.590130377007061e18	67051.96034838818
3.6570108807775007e18	67036.45479181503
3.7251373008002094e18	67020.64709869685
3.7945328472369265e18	67004.54560251483
3.8652211626312694e18	66988.15892101635
3.9372263299634755e18	66971.4959319833
4.010572880855512e18	66954.56576675887
4.085285803928565e18	66937.37778166728
4.1613905533166986e18	66919.94152119361
4.238913057338792e18	66902.26671358856
4.317879727332021e18	66884.36324125058
4.3983174666502103e18	66866.24111780929
4.480253679829499e18	66847.9104644253
4.563716281924754e18	66829.38148672687
4.648733708020275e18	66810.66445078184
4.735334922917121e18	66791.7696616077
4.823549431001458e18	66772.7074398739
4.913407286296377e18	66753.48810109652
5.004939102700954e18	66734.12193582885
5.098176064420409e18	66714.61918676796
5.193149936590223e18	66694.99002735883
5.289893076098145e18	66675.24455819945
5.388438442608246e18	66655.39277790631
5.488819609789678e18	66635.44456767107
5.591070776755282e18	66615.40968292172
5.695226779712843e18	66595.2977374564
5.801323103833379e18	66575.11819426615
5.909395895340953e18	66554.88035373678
6.019481973827287e18	66534.59334623303
6.131618844795769e18	66514.26612397331
6.245844712439592e18	66493.90745612056
6.362198492657495e18	66473.52592300395
6.480719826311958e18	66453.12991245021
6.60144909273491e18	66432.727618836
6.724427423484249e18	66412.32704003753
6.849696716357426e18	66391.93597765289
6.977299649665552e18	66371.56203707347
7.107279696773412e18	66351.21262964247
7.239681140910847e18	66330.89497397144
7.374549090259561e18	66310.61609883337
7.511929493320953e18	66290.38284656918
7.651869154570849e18	66270.20187643533
7.794415750404951e18	66250.07966933996
7.93961784538226e18	66230.02252875378
8.087524908770474e18	66210.03659597253
8.238187331399601e18	66190.1278459737
8.391656442830127e18	66170.30209005416
8.547984528840422e18	66150.56498841761
8.707224849239904e18	66130.92205210085
8.86943165601474e18	66111.37864813796
9.034660211810534e18	66091.94000597911
9.202966808760391e18	66072.61122025705
9.37440878766302e18	66053.39725760932
9.549044557518078e18	66034.30296045571
9.726933615426138e18	66015.3330543488
9.908136566858686e18	65996.4921428863
1.0092715146305698e19	65977.78471449521
1.028073223830869e19	65959.2151615347
1.0472251898884354e19	65940.78777252391
1.0667339377348549e19	65922.50672735521
1.0866061138546002e19	65904.37610338177
