E	mod_factor
1.0e17	12.674425165755899
1.097498765493059e17	12.674792462910295
1.2045035402587787e17	12.675608987949635
1.3219411484660286e17	12.677298643408005
1.450828778495943e17	12.68057216836827
1.5922827933410874e17	12.686541430480093
1.747528400007683e17	12.696836301094505
1.9179102616724928e17	12.713703858607557
2.104904144512013e17	12.740066694467762
2.310129700083158e17	12.779518484973757
2.5353644939701165e17	12.83624010635157
2.7825594022071146e17	12.914826063018433
3.0538555088334125e17	13.020015620907905
3.351602650938848e17	13.156322892399489
3.6783797718286195e17	13.327553829047245
4.03701725859655e17	13.536186552484896
4.430621457583887e17	13.782578388786284
4.8626015800653734e17	14.063955547334075
5.3366992312063014e17	14.373151819361444
5.857020818056673e17	14.697109772962412
6.428073117284346e17	15.015267654452948
7.05480231071863e17	15.298153422390765
7.742636826811278e17	15.506801033578457
8.497534359086473e17	15.593946727092902
9.32603346883218e17	15.508217997312245
1.0235310218990268e18	15.20237053878506
1.1233240329780311e18	14.645408501971497
1.2328467394420634e18	13.83550134646399
1.3530477745798075e18	12.807194796712489
1.4849682622544696e18	11.626828513295079
1.6297508346206403e18	10.376776889401029
1.7886495290574351e18	9.136433542592572
1.9630406500402765e18	7.968303326087048
2.154434690031878e18	6.912401195159773
2.364489412645407e18	5.987560952776721
2.5950242113997425e18	5.197640074259652
2.8480358684357934e18	4.545841759019733
3.125715849688235e18	4.067459015525054
3.430469286314926e18	3.8936618658082596
3.7649358067924557e18	4.477884439682832
4.1320124001153347e18	9.139023214233694
4.5348785081285914e18	1.5618987439019407
4.977023564332093e18	6.685519103647323e-5
5.462277217684337e18	5.465219172276693e-8
5.994842503189421e18	1.728106391283084e-12
6.579332246575656e18	3.019780369261453e-16
7.220809018385456e18	1.0515323931469026e-19
7.924828983539186e18	5.2482689109607134e-23
8.697490026177799e18	3.523818199196191e-26
9.545484566618327e18	3.3526471679656753e-29
1.0476157527896662e19	5.509177405120065e-32
1.1497569953977403e19	1.133313782923899e-34
1.2618568830660184e19	3.9851983823696225e-38
1.3848863713938745e19	7.716164192347799e-41
1.5199110829529393e19	1.0726083064944572e-43
1.6681005372000557e19	8.537043921271243e-47
1.8307382802953697e19	2.1493498460090425e-49
2.009233002565054e19	4.534154224241508e-52
2.205130739903041e19	9.275321963997069e-55
2.4201282647943836e19	1.9116265765352288e-57
2.6560877829466948e19	4.617494671769403e-60
2.9150530628251697e19	1.426235108303549e-62
3.1992671377973846e19	6.193602089391993e-65
3.5111917342151418e19	4.041527025914826e-67
3.85352859371052e19	2.794063052948432e-69
4.229242874389499e19	1.54765828855676e-71
4.641588833612792e19	9.532055413156622e-74
5.094138014816365e19	1.280816525760005e-75
5.590810182512223e19	8.037641094374767e-77
6.135907273413188e19	1.1199291650549168e-77
6.734150657750801e19	1.6164693676966284e-78
7.390722033525775e19	4.550108006356885e-79
8.111308307896889e19	1.943996270414733e-79
8.902150854450356e19	8.285133147758159e-80
9.770099572992246e19	4.275637567085376e-80
1.0722672220103254e20	2.651028052378299e-80
1.1768119524349942e20	1.820375829524684e-80
1.2915496650148826e20	1.2522987185391076e-80
1.4174741629268076e20	1.0184057452004564e-80
1.555676143930466e20	8.147153676141063e-81
1.7073526474706888e20	6.770309984003088e-81
1.873817422860387e20	5.812033581643515e-81
2.056512308348643e20	5.1266917565450775e-81
2.2570197196339167e20	4.624757871122417e-81
2.477076355991714e20	4.249891600804571e-81
2.718588242732951e20	3.965644842484295e-81
2.983647240283334e20	3.7474935650088613e-81
3.2745491628777315e20	3.5786850007190862e-81
3.5938136638046405e20	3.447173535365323e-81
3.944206059437648e20	3.3444104459693327e-81
4.328761281083062e20	3.2702865111293197e-81
4.7508101621028127e20	3.2049091547967167e-81
5.2140082879996736e20	3.1543377243270442e-81
5.72236765935022e20	3.1148808696840694e-81
6.280291441834272e20	3.0841425270417768e-81
6.892612104349681e20	3.060381260256e-81
7.56463327554629e20	3.0420070802503345e-81
8.302175681319769e20	3.0279609413838124e-81
9.111627561154869e20	3.0172581349618794e-81
1.0e21	3.0092337358218414e-81
