nu	f_nu
0.001	785.8836992787326
0.0011233240329780276	742.3228813076428
0.001261856883066021	700.4989724183265
0.0014174741629268048	660.3717169942751
0.0015922827933410922	621.9009780565714
0.001788649529057435	585.0467298097345
0.002009233002565048	549.7690823281819
0.002257019719633919	516.0282920582553
0.0025353644939701114	483.7847793136476
0.002848035868435802	452.99913081108224
0.0031992671377973846	423.63214127540107
0.003593813663804626	395.64480180335875
0.004037017258596553	368.99834569158025
0.004534878508128582	343.65424812255907
0.0050941380148163806	319.57425575067344
0.00572236765935022	296.7204074261061
0.006428073117284319	275.05504935068376
0.007220809018385464	254.5408656253952
0.008111308307896872	235.14089366643682
0.009111627561154896	216.81854514223028
0.010235310218990263	199.53763041178763
0.011497569953977356	183.26237051935914
0.01291549665014884	167.95741487061812
0.014508287784959394	153.58785774115336
0.016297508346206444	140.11924550799654
0.01830738280295368	127.5175832656864
0.020565123083486514	115.74933605598228
0.02310129700083159	104.78142413578229
0.02595024211399736	94.58121557705853
0.029150530628251774	85.1165065494633
0.03274549162877728	76.35550156573684
0.03678379771828634	68.2667854296233
0.04132012400115337	60.819288967492156
0.046415888336127795	53.98225568585421
0.052140082879996844	47.72520529500101
0.05857020818056667	42.01790067630556
0.0657933224657568	36.83032564339247
0.07390722033525779	32.13267702090557
0.08302175681319744	27.895379792248903
0.093260334688322	24.089132556267344
0.10476157527896648	20.684989329367276
0.11768119524349985	17.654479146171106
0.1321941148466029	14.969760325730295
0.1484968262254465	12.603793989631033
0.16681005372000587	10.530513734623328
0.1873817422860384	8.724962532185705
0.21049041445120203	7.163367182896591
0.23644894126454072	5.823135258191194
0.2656087782946686	4.682781857506831
0.29836472402833386	3.721818669371679
0.3351602650938842	2.9206536569792303
0.37649358067924676	2.260544809338106
0.42292428743894983	1.7236290159233452
0.47508101621027965	1.2930170587796785
0.533669923120631	0.9529230864504632
0.599484250318941	0.6887934859723167
0.6734150657750821	0.4874099956416821
0.7564633275546289	0.33695654941815134
0.8497534359086443	0.22704941074118887
0.9545484566618341	0.14873316833811034
1.0722672220103233	0.0944446018787789
1.2045035402587823	0.0579455408969399
1.353047774579807	0.034226375079006416
1.5199110829529336	0.019383702533236655
1.7073526474706906	0.010477903744090104
1.9179102616724886	0.005378553293081907
2.154434690031884	0.002606980364306979
2.420128264794382	0.001185558918513231
2.718588242732941	0.0005022512581144791
3.0538555088334154	0.00019663314566100928
3.4304692863149184	7.050727765190722e-5
3.8535285937105295	2.292349944131992e-5
4.328761281083058	6.681736103038997e-6
4.862601580065354	1.724032725100768e-6
5.462277217684341	3.881979740789027e-7
6.1359072734131725	7.506669596039188e-8
6.892612104349697	1.2243240074770506e-8
7.742636826811269	1.6504211423464038e-9
8.697490026177835	1.7973839702578008e-10
9.770099572992255	1.541347769515357e-11
10.974987654930562	1.0112415133788712e-12
12.32846739442066	4.9139145037069276e-14
13.848863713938732	1.7052708112668128e-15
15.556761439304715	4.0565914686835614e-17
17.47528400007684	6.317311881376688e-19
19.630406500402714	6.115429847679497e-21
22.051307399030456	3.4719981807255834e-23
24.770763559917114	1.0829149560269086e-25
27.825594022071243	1.7240935371149538e-28
31.25715849688237	1.290089370023741e-31
35.11191734215131	4.1350180395886696e-35
39.442060594376564	5.115154108259307e-39
44.3062145758388	2.1721713213214778e-43
49.770235643321115	2.7760659254797487e-48
55.90810182512222	9.209876498920647e-54
62.80291441834253	6.717784161238999e-60
70.54802310718642	8.939252584689386e-67
79.24828983539173	1.7596701985565885e-74
89.02150854450383	4.048858176068014e-83
100.0	8.35796733958834e-93
