E	db0_pair_dE	db0_pion_dE	db0_rsh_dE	db0_dE
1.3968351179887454e17	5.7963525041931e-17	0.0	7.358487281534e-11	5.7963525041931e-17
1.4130259905995336e17	6.912915186790892e-17	0.0	7.358487281534e-11	6.912915186790892e-17
1.4294045334317669e17	8.228544735583807e-17	0.0	7.358487281534e-11	8.228544735583807e-17
1.4459729217920195e17	9.775741164940901e-17	0.0	7.358487281534e-11	9.775741164940901e-17
1.462733356201136e17	1.159179214683728e-16	0.0	7.358487281534e-11	1.159179214683728e-16
1.479688062686396e17	1.371939554719997e-16	0.0	7.358487281534e-11	1.371939554719997e-16
1.4968392930772618e17	1.620735085712571e-16	0.0	7.358487281534e-11	1.620735085712571e-16
1.514189325304352e17	1.9111325580749606e-16	0.0	7.358487281534e-11	1.9111325580749606e-16
1.531740463702086e17	2.249470292615213e-16	0.0	7.358487281534e-11	2.249470292615213e-16
1.5494950393146317e17	2.642951757777897e-16	0.0	7.358487281534e-11	2.642951757777897e-16
1.5674554102056013e17	3.09974865289146e-16	0.0	7.358487281534e-11	3.09974865289146e-16
1.5856239617711373e17	3.629114247505528e-16	0.0	7.358487281534e-11	3.629114247505528e-16
1.6040031070568266e17	4.2415077389150425e-16	0.0	7.358487281534e-11	4.2415077389150425e-16
1.622595287078087e17	4.948730439140304e-16	0.0	7.358487281534e-11	4.948730439140304e-16
1.6414029711444733e17	5.764074616363199e-16	0.0	7.358487281534e-11	5.764074616363199e-16
1.6604286571875296e17	6.702485852314007e-16	0.0	7.358487281534e-11	6.702485852314007e-16
1.6796748720926602e17	7.780739807177442e-16	0.0	7.358487281534e-11	7.780739807177442e-16
1.699144172034626e17	9.01763429739123e-16	0.0	7.358487281534e-11	9.01763429739123e-16
1.7188391428171526e17	1.0434197594730622e-15	0.0	7.358487281534e-11	1.0434197594730622e-15
1.7387624002162506e17	1.2053913940802327e-15	0.0	7.358487281534e-11	1.2053913940802327e-15
1.7589165903277398e17	1.3902967158830076e-15	0.0	7.358487281534e-11	1.3902967158830076e-15
1.7793043899185773e17	1.6010503403724153e-15	0.0	7.358487281534e-11	1.6010503403724153e-15
1.799928506782484e17	1.8408913982985824e-15	0.0	7.358487281534e-11	1.8408913982985824e-15
1.8207916800994624e17	2.1134139164066473e-15	0.0	7.358487281534e-11	2.1134139164066473e-15
1.8418966807997184e17	2.4225994078513548e-15	0.0	7.358487281534e-11	2.4225994078513548e-15
1.8632463119315597e17	2.772851749204199e-15	0.0	7.358487281534e-11	2.772851749204199e-15
1.8848434090338032e17	3.169034446183568e-15	0.0	7.358487281534e-11	3.169034446183568e-15
1.9066908405122518e17	3.616510384590434e-15	0.0	7.358487281534e-11	3.616510384590434e-15
1.9287915080207856e17	4.1211841387449236e-15	0.0	7.358487281534e-11	4.1211841387449236e-15
1.9511483468466163e17	4.689546935373254e-15	0.0	7.358487281534e-11	4.689546935373254e-15
1.9737643263002634e17	5.3287243397019324e-15	0.0	7.358487281534e-11	5.3287243397019324e-15
1.9966424501097933e17	6.046526756960969e-15	0.0	7.358487281534e-11	6.046526756960969e-15
2.0197857568198867e17	6.851502781781711e-15	0.0	7.358487281534e-11	6.851502781781711e-15
2.0431973201952704e17	7.752995507280675e-15	0.0	7.358487281534e-11	7.752995507280675e-15
2.0668802496290906e17	8.761201787003375e-15	0.0	7.358487281534e-11	8.761201787003375e-15
2.09083769055575e17	9.887234558899471e-15	0.0	7.358487281534e-11	9.887234558899471e-15
2.1150728248688035e17	1.114318820091467e-14	0.0	7.358487281534e-11	1.114318820091467e-14
2.1395888713434214e17	1.2542207011220633e-14	0.0	7.358487281534e-11	1.2542207011220633e-14
2.164389086064029e17	1.4098556769438128e-14	0.0	7.358487281534e-11	1.4098556769438128e-14
