E	beta_pair_E	beta_pion_E	beta_rsh_E	beta_total_E
2.602647881969015e17	7.568364429514766e-15	0	7.665e-11	7.665756836442952e-11
2.63281546564802e17	8.41623780145479e-15	0	7.665e-11	7.665841623780146e-11
2.6633327251749917e17	9.349011389115307e-15	0	7.665e-11	7.665934901138912e-11
2.6942037136818822e17	1.0374093698549844e-14	0	7.665e-11	7.666037409369855e-11
2.725432531281039e17	1.1499433072225982e-14	0	7.665e-11	7.666149943307222e-11
2.7570233256095827e17	1.2733547791474378e-14	0	7.665e-11	7.666273354779147e-11
2.788980292380451e17	1.408555715705517e-14	0	7.665e-11	7.666408555715706e-11
2.8213076759394707e17	1.556521353204658e-14	0	7.665e-11	7.666556521353205e-11
2.854009769829249e17	1.718293532768794e-14	0	7.665e-11	7.666718293532769e-11
2.8870909173592346e17	1.894984090903119e-14	0	7.665e-11	7.666894984090903e-11
2.920555512182757e17	2.0877783393530006e-14	0	7.665e-11	7.667087778339354e-11
2.95440799888038e17	2.297938631176873e-14	0	7.665e-11	7.667297938631178e-11
2.988652873550395e17	2.5268080095713473e-14	0	7.665e-11	7.667526808009571e-11
3.0232946844057766e17	2.7758139355842243e-14	0	7.665e-11	7.667775813935584e-11
3.058338032378444e17	3.046472090465633e-14	0	7.665e-11	7.668046472090466e-11
3.093787571730137e17	3.3403902480013486e-14	0	7.665e-11	7.668340390248002e-11
3.1296480106707635e17	3.659272211789144e-14	0	7.665e-11	7.668659272211789e-11
3.1659241119835206e17	4.004921812015707e-14	0	7.665e-11	7.669004921812017e-11
3.2026206936576634e17	4.379246955917592e-14	0	7.665e-11	7.669379246955918e-11
3.239742629528195e17	4.7842637257147766e-14	0	7.665e-11	7.669784263725715e-11
3.277294849923395e17	5.2221005174479434e-14	0	7.665e-11	7.670222100517448e-11
3.3152823423194234e17	5.695002213770478e-14	0	7.665e-11	7.67069500221377e-11
3.353710152002943e17	6.205334383411543e-14	0	7.665e-11	7.671205334383412e-11
3.392583382740992e17	6.755587499667955e-14	0	7.665e-11	7.671755587499668e-11
3.4319071974590566e17	7.348381169977715e-14	0	7.665e-11	7.672348381169978e-11
3.4716868189265594e17	7.986468368296184e-14	0	7.665e-11	7.672986468368296e-11
3.511927530450742e17	8.672739661727607e-14	0	7.665e-11	7.673672739661727e-11
3.5526346765781395e17	9.410227422565782e-14	0	7.665e-11	7.674410227422566e-11
3.5938136638046406e17	1.0202110016671051e-13	0	7.665e-11	7.675202110016672e-11
3.635469961293318e17	1.1051715958850214e-13	0	7.665e-11	7.676051715958851e-11
3.677609101601046e17	1.196252802572772e-13	0	7.665e-11	7.676962528025728e-11
3.7202366814130656e17	1.2938187316376847e-13	0	7.665e-11	7.677938187316377e-11
3.763358362286548e17	1.3982497250856032e-13	0	7.665e-11	7.678982497250856e-11
3.806979871402284e17	1.5099427496620362e-13	0	7.665e-11	7.680099427496621e-11
3.8511070023255846e17	1.6293117812713315e-13	0	7.665e-11	7.681293117812714e-11
3.895745615775501e17	1.756788180151633e-13	0	7.665e-11	7.682567881801516e-11
3.940901640403464e17	1.8928210557830888e-13	0	7.665e-11	7.683928210557831e-11
3.986581073580439e17	2.0378776204990147e-13	0	7.665e-11	7.68537877620499e-11
4.0327899821937216e17	2.1924435307759004e-13	0	7.665e-11	7.686924435307759e-11
4.0795345034524486e17	2.3570232151754243e-13	0	7.665e-11	7.688570232151755e-11
4.126820845702969e17	2.5321401879245807e-13	0	7.665e-11	7.690321401879247e-11
4.174655289253135e17	2.718337347122253e-13	0	7.665e-11	7.692183373471222e-11
4.223044187206689e17	2.9161772565804224e-13	0	7.665e-11	7.694161772565804e-11
4.271993966306776e17	3.1262424103152985e-13	0	7.665e-11	7.696262424103153e-11
4.32151112778978e17	3.3491354787303406e-13	0	7.665e-11	7.698491354787304e-11
4.3716022482485024e17	3.585479535545054e-13	0	7.665e-11	7.700854795355451e-11
4.422273980505915e17	3.8359182645568064e-13	0	7.665e-11	7.703359182645568e-11
4.4735330544984634e17	4.101116145339408e-13	0	7.665e-11	7.706011161453394e-11
4.525386278170185e17	4.3817586170219373e-13	0	7.665e-11	7.70881758617022e-11
4.5778405383766163e17	4.678552219312214e-13	0	7.665e-11	7.711785522193122e-11
4.6309028017997555e17	4.9922247099751e-13	0	7.665e-11	7.714922247099751e-11
4.684580115873045e17	5.323525158000551e-13	0	7.665e-11	7.718235251580005e-11
4.7388796097176704e17	5.673224011748266e-13	0	7.665e-11	7.721732240117483e-11
4.793808495089107e17	6.042113141383331e-13	0	7.665e-11	7.725421131413833e-11
4.849374067335253e17	6.431005854975316e-13	0	7.665e-11	7.729310058549753e-11
4.905583706365046e17	6.840736887662457e-13	0	7.665e-11	7.733407368876624e-11
4.962444877628934e17	7.272162363348214e-13	0	7.665e-11	7.737721623633482e-11
5.0199651331100794e17	7.726159728424782e-13	0	7.665e-11	7.742261597284248e-11
5.0781521123276915e17	8.203627657091161e-13	0	7.665e-11	7.747036276570912e-11
5.137013543351339e17	8.705485927863152e-13	0	7.665e-11	7.752054859278632e-11
5.196557243827679e17	9.232675270946248e-13	0	7.665e-11	7.757326752709462e-11
5.256791122018419e17	9.78615718617532e-13	0	7.665e-11	7.762861571861753e-11
5.317723177850988e17	1.0366913731301842e-12	0	7.665e-11	7.768669137313019e-11
5.3793615039806976e17	1.0975947280441564e-12	0	7.665e-11	7.774759472804416e-11
