E	mod_factor
1.0e17	0.0037741586450574897
1.2067926406393264e17	0.00377415864549764
1.4563484775012384e17	0.0037741586542512496
1.7575106248547965e17	0.003774158758011786
2.1209508879201926e17	0.003774159553422329
2.559547922699533e17	0.003774163773367927
3.088843596477472e17	0.0037741801613779043
3.727593720314953e17	0.0037742289465509653
4.4984326689694534e17	0.0037743445312813997
5.428675439323859e17	0.003774569078007364
6.551285568595496e17	0.003774934804663104
7.90604321090767e17	0.00377544108066271
9.540954763499963e17	0.0037760377098550093
1.1513953993264481e18	0.003776623521255291
1.3894954943731361e18	0.00377706176171233
1.6768329368110031e18	0.0037772063279014664
2.0235896477251638e18	0.003776929295987062
2.4420530945486546e18	0.0037761416013384025
2.9470517025518095e18	0.0037748049738077776
3.5564803062231214e18	0.0037729387505839387
4.291934260128761e18	0.0037706209775470218
5.179474679231223e18	0.0037679759987738156
6.250551925273976e18	0.003765147463071431
7.543120063354608e18	0.0037622701316618835
9.102981779915189e18	0.0037594547488140014
1.0985411419875617e19	0.0037567874354440963
1.3257113655901108e19	0.003754335462840033
1.5998587196060574e19	0.0037521522496391773
1.9306977288832455e19	0.003750287598640409
2.3299518105153815e19	0.003748928926800841
2.8117686979742368e19	0.0037495106991832935
3.3932217718953296e19	0.0037589902231829017
4.0949150623804195e19	0.003797162120745173
4.941713361323818e19	0.003897374828708603
5.963623316594661e19	0.004086891735626052
7.196856730011528e19	0.004337927055064888
8.68511373751352e19	0.004499208583621226
1.0481131341546832e20	0.004356861837901915
1.264855216855301e20	0.0039306090535432
1.5264179671752366e20	0.0034479094960071953
1.8420699693267164e20	0.003049020952534214
2.222996482526191e20	0.0027578784940666037
2.6826957952797164e20	0.0025561480120708307
3.237457542817653e20	0.0024199614886027607
3.906939937054621e20	0.002329630414542694
4.71486636345739e20	0.002270648220911204
5.6898660290182814e20	0.002232743809677644
6.866488450043026e20	0.002208789297445236
8.28642772854686e20	0.0021939179301587904
1.0e21	0.0021848627523462535
