z	E
0.4	1.0e18
0.39839357429718875	9.981622408040332e17
0.3967871485943775	9.963314859664901e17
0.39518072289156625	9.945076790346424e17
0.39357429718875503	9.926907640219757e17
0.39196787148594375	9.908806854035343e17
0.39036144578313253	9.890773881113213e17
0.3887550200803213	9.8728081752975e17
0.38714859437751004	9.8549091949115e17
0.3855421686746988	9.837076402713242e17
0.38393574297188754	9.81930926585158e17
0.3823293172690763	9.801607255822794e17
0.38072289156626504	9.783969848427686e17
0.3791164658634538	9.766396523754216e17
0.37751004016064255	9.748886766064087e17
0.3759036144578313	9.731440063814127e17
0.3742971887550201	9.714055909604154e17
0.37269076305220883	9.696733800131337e17
0.3710843373493976	9.67947323615019e17
0.36947791164658633	9.662273722433018e17
0.3678714859437751	9.645134767730826e17
0.36626506024096384	9.628055884734675e17
0.3646586345381526	9.611036590037482e17
0.36305220883534134	9.594076404096261e17
0.3614457831325301	9.577174851194797e17
0.3598393574297189	9.560331459406744e17
0.3582329317269076	9.543545760559158e17
0.3566265060240964	9.526817290196433e17
0.3550200803212851	9.510145587544662e17
0.3534136546184739	9.493530195453408e17
0.35180722891566263	9.476970660426588e17
0.3502008032128514	9.460466532530264e17
0.3485943775100402	9.444017365368911e17
0.3469879518072289	9.427622716056513e17
0.3453815261044177	9.411282145183296e17
0.3437751004016064	9.394995216782844e17
0.3421686746987952	9.378761498299581e17
0.3405622489959839	9.362580560556635e17
0.3389558232931727	9.346451977724055e17
0.3373493975903614	9.330375327287404e17
0.3357429718875502	9.314350190016695e17
0.334136546184739	9.298376149935695e17
0.3325301204819277	9.282452794291565e17
0.3309236947791165	9.266579713524847e17
0.3293172690763052	9.250756501239804e17
0.327710843373494	9.234982754175077e17
0.3261044176706827	9.219258072178092e17
0.3244979919678715	9.203582058182595e17
0.3228915662650602	9.187954318140157e17
0.321285140562249	9.172374461040271e17
0.3196787148594378	9.156842098865052e17
0.3180722891566265	9.141356846561846e17
0.3164658634538153	9.125918322016141e17
0.314859437751004	9.11052614602479e17
0.3132530120481928	9.095179942269527e17
0.3116465863453815	9.079879337290797e17
0.3100401606425703	9.064623960461862e17
0.30843373493975906	9.049413443963219e17
0.3068273092369478	9.034247422757288e17
0.30522088353413657	9.0191255345441e17
0.3036144578313253	9.004047419791799e17
0.30200803212851407	8.989012721663521e17
0.3004016064257028	8.974021086001939e17
0.2987951807228916	8.959072161309345e17
0.2971887550200803	8.944165598724008e17
0.2955823293172691	8.929301051996792e17
0.29397590361445786	8.914478177468047e17
0.2923694779116466	8.899696634044749e17
0.29076305220883536	8.884956083177897e17
0.2891566265060241	8.870256188840173e17
0.28755020080321286	8.855596617503841e17
0.2859437751004016	8.840977038118903e17
0.28433734939759037	8.826397122091488e17
0.2827309236947791	8.811856543262495e17
0.28112449799196787	8.797354977888666e17
0.27951807228915665	8.782892104625681e17
0.2779116465863454	8.768467604481585e17
0.27630522088353415	8.754081160827508e17
0.2746987951807229	8.739732459366066e17
0.27309236947791166	8.725421188111386e17
0.2714859437751004	8.711147037369362e17
0.26987951807228916	8.696909699718132e17
0.26827309236947794	8.682708869988764e17
0.26666666666666666	8.668544245246162e17
0.26506024096385544	8.65441552477019e17
0.26345381526104417	8.640322410036997e17
