E	Eg
1.0e17	1.0100000000009674e17
1.0092621909870443e17	1.0193548128981088e17
1.0186101701559773e17	1.0287962718590082e17
1.0280447320933077e17	1.0383251794160496e17
1.0375666787451891e17	1.0479423455348618e17
1.0471768194855203e17	1.0576485876830981e17
1.0568759711848008e17	1.0674447308999797e17
1.066664958279541e17	1.0773316078664054e17
1.0765446128423138e17	1.0873100589757e17
1.0865157746525418e17	1.0973809324051117e17
1.09657929126781e17	1.107545084187836e17
1.10673601809597e17	1.1178033782858496e17
1.116986818467825e17	1.128156686663313e17
1.1273325637104848e17	1.1386058893606694e17
1.1377741332214949e17	1.1491518745695123e17
1.148312414543511e17	1.1597955387080088e17
1.158948303439807e17	1.1705377864971645e17
1.169682703970387e17	1.1813795310377058e17
1.1805165285688032e17	1.1923216938876526e17
1.1914506981197797e17	1.2033652051407424e17
1.2024861420374123e17	1.2145110035053992e17
1.2136237983442368e17	1.225760036384606e17
1.2248646137509333e17	1.2371132599564082e17
1.2362095437367666e17	1.2485716392551658e17
1.2476595526308736e17	1.2601361482536522e17
1.2592156136941509e17	1.2718077699457818e17
1.2708787092020542e17	1.2835874964302358e17
1.2826498305280626e17	1.2954763289947736e17
1.2945299782279134e17	1.307475278201322e17
1.3065201621247253e17	1.319585363971962e17
1.3186214013947485e17	1.3318076156755427e17
1.3308347246540706e17	1.3441430722152872e17
1.3431611700460181e17	1.3565927821170685e17
1.355601785329366e17	1.369157803618531e17
1.3681576279674762e17	1.3818392047591434e17
1.3808297652180923e17	1.3946380634709102e17
1.3936192742241378e17	1.4075554676701157e17
1.4065272421052392e17	1.4205925153497928e17
1.4195547660500987e17	1.4337503146730462e17
1.4327029534098354e17	1.4470299840673818e17
1.4459729217920195e17	1.4604326523197216e17
1.4593657991557517e17	1.4739594586724803e17
1.4728827239075046e17	1.4876115529204256e17
1.486524844997854e17	1.501390095508443e17
1.5002933220192227e17	1.515296257630332e17
1.514189325304352e17	1.5293312213283194e17
1.5282140360258646e17	1.543496179593733e17
1.5423686462966304e17	1.5577923364684486e17
1.556654359271059e17	1.5722209071473142e17
1.5710723892474554e17	1.5867831180816365e17
1.5856239617711373e17	1.6014802070834656e17
1.600310313738695e17	1.6163134234310554e17
1.6151326935030928e17	1.631284027975151e17
1.630092360979738e17	1.646393293246316e17
1.6451905877536675e17	1.661642503563374e17
1.6604286571875296e17	1.6770329551426746e17
1.675807864530762e17	1.6925659562086224e17
1.6913295170296506e17	1.708242827105073e17
1.7069949340384045e17	1.724064900407801e17
1.7228054471313994e17	1.7400335210381718e17
1.7387624002162506e17	1.7561500463776992e17
1.754867149648145e17	1.7724158463838656e17
1.7711210643450906e17	1.7888323037069357e17
1.7875255259042317e17	1.805400813807877e17
1.804081928719388e17	1.822122785077523e17
1.8207916800994624e17	1.8389996389567248e17
1.8376562003881648e17	1.8560328100577968e17
1.8546769230847014e17	1.8732237462870496e17
1.8718552949655754e17	1.890573908968446e17
1.889192776207672e17	1.9080847729686595e17
1.9066908405122518e17	1.925757826823065e17
1.9243509752303245e17	1.9435945728632163e17
1.9421746814890285e17	1.9615965273453923e17
1.9601634743191818e17	1.979765220580412e17
1.9783188827841702e17	1.9981021970648586e17
1.9966424501097933e17	2.016609015613368e17
2.0151357338155504e17	2.035287249492441e17
2.033800305846984e17	2.054138486555457e17
2.052637752709248e17	2.073164329378969e17
2.0716496756020752e17	2.0923663954005488e17
2.09083769055575e17	2.1117463170577613e17
2.1102034285685878e17	2.1313057419287555e17
2.1297485357455232e17	2.1510463328741165e17
2.149474673437976e17	2.1709697681801357e17
2.169383518385191e17	2.1910777417037162e17
2.1894767628566208e17	2.2113719630184474e17
2.209756114795894e17	2.231854157562478e17
2.2302232979659408e17	2.2525260667876774e17
2.2508800520954573e17	2.273389448310369e17
