E	Eg
1.0e17	2.5253424675668352e17
1.0092621909870443e17	2.5499667806193898e17
1.0186101701559773e17	2.5748827330946333e17
1.0280447320933077e17	2.6000959745610323e17
1.0375666787451891e17	2.6256123317505437e17
1.0471768194855203e17	2.6514378152959907e17
1.0568759711848008e17	2.677578626755223e17
1.066664958279541e17	2.7040411659356288e17
1.0765446128423138e17	2.7308320385343747e17
1.0865157746525418e17	2.75795806411038e17
1.09657929126781e17	2.785426284404282e17
1.10673601809597e17	2.813243972025387e17
1.116986818467825e17	2.8414186395203712e17
1.1273325637104848e17	2.869958048854085e17
1.1377741332214949e17	2.898870221306796e17
1.148312414543511e17	2.9281634478264896e17
1.158948303439807e17	2.9578462998505075e17
1.169682703970387e17	2.987927640624182e17
1.1805165285688032e17	3.018416637042874e17
1.1914506981197797e17	3.0493227720457504e17
1.2024861420374123e17	3.080655857590386e17
1.2136237983442368e17	3.112426048240714e17
1.2248646137509333e17	3.14464385540114e17
1.2362095437367666e17	3.1773201622325664e17
1.2476595526308736e17	3.210466239288636e17
1.2592156136941509e17	3.2440937609113286e17
1.2708787092020542e17	3.278214822429601e17
1.2826498305280626e17	3.312841958205366e17
1.2945299782279134e17	3.347988160575538e17
1.3065201621247253e17	3.3836668997412717e17
1.3186214013947485e17	3.419892144658031e17
1.3308347246540706e17	3.456678384985534e17
1.3431611700460181e17	3.494040654158104e17
1.355601785329366e17	3.531994553641104e17
1.3681576279674762e17	3.570556278443933e17
1.3808297652180923e17	3.6097426439627757e17
1.3936192742241378e17	3.649571114232941e17
1.4065272421052392e17	3.690059831675004e17
1.4195547660500987e17	3.731227648424058e17
1.4327029534098354e17	3.7730941593391917e17
1.4459729217920195e17	3.815679736793527e17
1.4593657991557517e17	3.859005567355975e17
1.4728827239075046e17	3.903093690479123e17
1.486524844997854e17	3.947967039319027e17
1.5002933220192227e17	3.993649483818781e17
1.514189325304352e17	4.040165876197683e17
1.5282140360258646e17	4.087542098997791e17
1.5423686462966304e17	4.1358051158494874e17
1.556654359271059e17	4.1849830251288704e17
1.5710723892474554e17	4.2351051166926746e17
1.5856239617711373e17	4.286201931859317e17
1.600310313738695e17	4.338305326960511e17
1.6151326935030928e17	4.391448540513293e17
1.630092360979738e17	4.44566626443088e17
1.6451905877536675e17	4.5009947193620934e17
1.6604286571875296e17	4.557471734616232e17
1.675807864530762e17	4.6151368327172064e17
1.6913295170296506e17	4.674031319331376e17
1.7069949340384045e17	4.734198378299045e17
1.7228054471313994e17	4.7956831729238176e17
1.7387624002162506e17	4.858532953278144e17
1.754867149648145e17	4.922797169903823e17
1.7711210643450906e17	4.988527594971378e17
1.7875255259042317e17	5.055778450704956e17
1.804081928719388e17	5.1246065461130406e17
1.8207916800994624e17	5.195071422408344e17
1.8376562003881648e17	5.2672355075675046e17
1.8546769230847014e17	5.3411642808164454e17
1.8718552949655754e17	5.416926447770179e17
1.889192776207672e17	5.494594126653693e17
1.9066908405122518e17	5.5742430469188026e17
1.9243509752303245e17	5.65595276063735e17
1.9421746814890285e17	5.7398068682414746e17
1.9601634743191818e17	5.825893258220143e17
1.9783188827841702e17	5.914304364232364e17
1.9966424501097933e17	6.005137436284692e17
2.0151357338155504e17	6.098494838026175e17
2.033800305846984e17	6.194484347279753e17
2.052637752709248e17	6.29321949834359e17
2.0716496756020752e17	6.394819930993354e17
2.09083769055575e17	6.4994117699924e17
2.1102034285685878e17	6.607128030180325e17
2.1297485357455232e17	6.718109046459699e17
2.149474673437976e17	6.83250293561615e17
2.169383518385191e17	6.950466089807283e17
2.1894767628566208e17	7.072163700070481e17
2.209756114795894e17	7.197770320979813e17
2.2302232979659408e17	7.327470470715002e17
2.2508800520954573e17	7.461459270955767e17
2.271728133026912e17	7.599943135299732e17
2.2927693128656486e17	7.74314050011574e17
2.3140053801306448e17	7.891282605258719e17
2.3354381399064816e17	8.044614331957236e17
2.357069413996723e17	8.20339509177744e17
2.3789010410789005e17	8.367899779126266e17
2.4009348768606518e17	8.538419786641394e17
2.4231727942375907e17	8.715264085841894e17
2.445616683452449e17	8.898760382439782e17
2.4682684522556874e17	9.089256344013833e17
2.4911300260677962e17	9.287120907920984e17
2.5142033481427965e17	9.492745672272809e17
2.5374903797335613e17	9.706546374896856e17
2.560993100258462e17	9.928964461926584e17
2.5847135074695584e17	1.016046875589133e18
2.6086536176225558e17	1.0401557216066057e18
2.63281546564802e17	1.0652758810627855e18
2.6572011053244957e17	1.0914635483705812e18
2.6818126094530182e17	1.1187784243426328e18
2.706652070033236e17	1.1472839352809772e18
2.7317215984413846e17	1.177047464016503e18
2.7570233256095827e17	1.2081405919043948e18
2.7825594022071146e17	1.2406393530379354e18
2.8083319988231754e17	1.2746245005153818e18
2.8343433061513034e17	1.3101817799454305e18
2.8605955351757507e17	1.3474022220787507e18
2.8870909173592346e17	1.3863824433373606e18
2.913831704832777e17	1.427224949927642e18
2.940820170587067e17	1.470038462949493e18
2.968058608665596e17	1.5149382468257935e18
2.995549334359822e17	1.5620464480475233e18
3.0232946844057766e17	1.6114924414411697e18
3.051297017182858e17	1.6634131832751657e18
3.07955871291423e17	1.717953570080464e18
3.108082173869057e17	1.775266800821673e18
3.1368698245668864e17	1.8355147424069668e18
3.1659241119835206e17	1.898868294423682e18
3.1952475057592006e17	1.96550775403584e18
3.2248424984084454e17	2.03562317504781e18
3.254711605531841e17	2.1094147220443604e18
3.284857366030054e17	2.1870930142372644e18
3.3152823423194234e17	2.2688794564675863e18
3.345989120549961e17	2.355006554744815e18
3.376980310825095e17	2.445718209644752e18
3.408258547423445e17	2.541269988652343e18
3.439826489022935e17	2.6419293625757215e18
3.4716868189265594e17	2.747975917640501e18
3.503842245290661e17	2.8597015181168614e18
3.5362955013550464e17	2.977410430987098e18
3.5690493456752224e17	3.101419398594964e18
3.602106562357081e17	3.232057660917434e18
3.635469961293318e17	3.3696668912768773e18
3.669142378402479e17	3.5146011306873395e18
3.703126675869931e17	3.6672265682271524e18
3.7374257423910566e17	3.827921316695965e18
3.772042493417009e17	3.997075076897224e18
3.806979871402284e17	4.1750887408386847e18
3.842240846055045e17	4.3623739092350884e18
3.877828414589461e17	4.559352332545459e18
3.9137456019803757e17	4.766455277154199e18
3.9499954612206554e17	4.984122812293849e18
3.986581073580439e17	5.212803039517385e18
4.023505548869277e17	5.452951238943935e18
4.060772025700369e17	5.705028969452588e18
4.098383671757253e17	5.969503119294634e18
4.1363436840632864e17	6.246844901873445e18
4.174655289253135e17	6.537528850813379e18
4.213321743847272e17	6.842031800829693e18
4.252346334528686e17	7.160831935614522e18
4.2917323784221485e17	7.494408027443156e18
4.3314832233764115e17	7.843239032319491e18
4.3716022482485024e17	8.207804515086397e18
4.412092863191172e17	8.588586591632863e18
4.45295850994266e17	8.986074657216214e18
4.494202662119133e17	9.400775012801757e18
4.5358288255102e17	9.833228537290174e18
4.5778405383766163e17	1.0284041343896785e19
4.620241371751294e17	1.0753935237199708e19
4.663034929742736e17	1.1243827779950694e19
4.7062248498412717e17	1.1754955416286988e19
4.7498148032285146e17	1.2289058779201229e19
4.793808495089107e17	1.2848658503744225e19
4.838209664925937e17	1.34374668567031e19
4.883022086877885e17	1.4061013193646987e19
4.928249570040503e17	1.4727628067544355e19
4.973895958790078e17	1.5450072930645836e19
5.0199651331100794e17	1.6248423947154514e19
5.066461008921248e17	1.7155609889690999e19
5.1133875384143315e17	1.8229183056031955e19
5.160748710385897e17	1.9579880312386662e19
5.208548550577676e17	2.145512185223668e19
5.256791122018419e17	2.4565927044275065e19
5.3054805253695526e17	3.229428178412797e19
5.354620899273613e17	9.91588032083658e19
5.404216420705904e17	1.7286366458627353e21
5.4542713053298477e17	3.3867045834341963e22
5.5047898078549677e17	6.54759490420166e23
5.555776222398855e17	1.2508904337121149e25
5.6072348828520384e17	2.356357863562878e26
5.659170163246231e17	4.36975898575038e27
5.711586478126447e17	7.973772157544598e28
5.764488282925873e17	1.4328227812831347e30
5.817880074344911e17	2.5367900437484047e31
5.871766390733262e17	4.43054217438822e32
5.92615181247554e17	7.638652789404746e33
5.981040962380956e17	1.3007364866252716e35
6.036438506075864e17	2.1871508742970025e36
6.092349152400686e17	3.6307484622402975e37
6.148777653810029e17	5.94533957064697e38
6.205728806776488e17	9.598787062221394e39
6.263207452198705e17	1.52768328240736e41
6.321218475812448e17	2.3968634665894436e42
6.379766808606257e17	3.707331555047388e43
6.438857427240426e17	5.655844326553965e44
6.498495354469875e17	8.511005546650689e45
6.558685659571448e17	1.2635521546944866e47
6.619433458774388e17	1.8507273741731287e48
6.680743915695588e17	2.675500780047991e49
6.742622241778349e17	3.817297352045248e50
6.805073696735192e17	5.3755316034643115e51
6.868103588995322e17	7.471654368981665e52
6.9317172761554e17	1.025060773789095e54
6.995920165435346e17	1.388106753449194e55
7.06071771413778e17	1.8554012210264651e56
7.126115430111731e17	2.4479153708155315e57
7.192118872221207e17	3.1878839271591487e58
7.258733650817245e17	4.097915089907069e59
7.3259654282152e17	5.199814338833104e60
7.393819919175873e17	6.513141756862155e61
7.462302891391092e17	8.053556773980887e62
7.531420165974391e17	9.837515453693481e63
7.601177617955323e17	1.1848073396783984e65
7.67158117677927e17	1.4098022482943779e66
7.742636826811278e17	1.656367001246667e67
7.814350607844526e17	1.9216255951247538e68
7.886728615614172e17	2.201496034239651e69
7.959777002314977e17	2.4907028117833957e70
8.033501977124701e17	2.7832536023386114e71
8.107909806731694e17	3.071083967373258e72
8.183006815867373e17	3.3464533986564455e73
8.258799387844289e17	3.600876631452671e74
8.335293965098188e17	3.826356026870258e75
8.412497049736084e17	4.013814863161453e76
8.490415204088755e17	4.156484403817204e77
8.56905505126833e17	4.248618929173437e78
8.648423275731744e17	4.286556139242483e79
8.728526623848371e17	4.269292378036178e80
8.809371904473955e17	4.199169524963374e81
8.890965989529167e17	4.080650175209846e82
8.973315814583501e17	3.9197777757374895e83
9.056428379445312e17	3.723593225523274e84
9.140310748756223e17	3.4984885095825686e85
9.224970052592137e17	3.2487904652186367e86
9.310413487069085e17	2.980294438793341e87
9.396648314954671e17	2.6994130405731978e88
9.483681866285947e17	2.4120320160216294e89
9.571521538991855e17	2.1261156195563693e90
9.660174799522606e17	1.8502286208347042e91
9.749649183484096e17	1.591464937686181e92
9.839952296278207e17	1.355135714128397e93
9.931091813749821e17	1.1426967367887725e94
1.0023075482838643e18	9.528689691747711e94
1.0115911122238339e18	7.847400463578164e95
1.0209606623060476e18	6.372787855591853e96
1.0304169949505853e18	5.102731575689149e97
1.0399609139541225e18	4.0362055720637335e98
1.0495932305582266e18	3.1615097923797384e99
