E	Eg
1.0e17	1.0500000000138392e17
1.0092621909870443e17	1.0597253005533067e17
1.0186101701559773e17	1.0695406786844067e17
1.0280447320933077e17	1.0794469687231018e17
1.0375666787451891e17	1.08944501271301e17
1.0471768194855203e17	1.0995356604969034e17
1.0568759711848008e17	1.1097197697890256e17
1.066664958279541e17	1.1199982062479712e17
1.0765446128423138e17	1.130371843550241e17
1.0865157746525418e17	1.1408415634645893e17
1.09657929126781e17	1.1514082559269005e17
1.10673601809597e17	1.1620728191159118e17
1.116986818467825e17	1.1728361595295475e17
1.1273325637104848e17	1.1836991920619566e17
1.1377741332214949e17	1.1946628400813579e17
1.148312414543511e17	1.2057280355084744e17
1.158948303439807e17	1.2168957188958269e17
1.169682703970387e17	1.2281668395076944e17
1.1805165285688032e17	1.2395423554007786e17
1.1914506981197797e17	1.2510232335057614e17
1.2024861420374123e17	1.2626104497094318e17
1.2136237983442368e17	1.274304988937765e17
1.2248646137509333e17	1.2861078452396502e17
1.2362095437367666e17	1.2980200218714058e17
1.2476595526308736e17	1.3100425313822021e17
1.2592156136941509e17	1.322176395700088e17
1.2708787092020542e17	1.3344226462190379e17
1.2826498305280626e17	1.3467823238866562e17
1.2945299782279134e17	1.3592564792927315e17
1.3065201621247253e17	1.3718461727587211e17
1.3186214013947485e17	1.3845524744279165e17
1.3308347246540706e17	1.3973764643566309e17
1.3431611700460181e17	1.4103192326061197e17
1.355601785329366e17	1.4233818793353819e17
1.3681576279674762e17	1.4365655148949552e17
1.3808297652180923e17	1.4498712599214157e17
1.3936192742241378e17	1.4633002454329754e17
1.4065272421052392e17	1.4768536129258477e17
1.4195547660500987e17	1.4905325144715456e17
1.4327029534098354e17	1.5043381128152426e17
1.4459729217920195e17	1.518271581474883e17
1.4593657991557517e17	1.5323341048414333e17
1.4728827239075046e17	1.54652687827999e17
1.486524844997854e17	1.5608511082318848e17
1.5002933220192227e17	1.5753080123178477e17
1.514189325304352e17	1.589898819442078e17
1.5282140360258646e17	1.6046247698974643e17
1.5423686462966304e17	1.6194871154717645e17
1.556654359271059e17	1.6344871195547786e17
1.5710723892474554e17	1.6496260572467965e17
1.5856239617711373e17	1.6649052154678883e17
1.600310313738695e17	1.6803258930685107e17
1.6151326935030928e17	1.695889400941082e17
1.630092360979738e17	1.711597062132772e17
1.6451905877536675e17	1.7274502119594778e17
1.6604286571875296e17	1.7434501981208576e17
1.675807864530762e17	1.7595983808167645e17
1.6913295170296506e17	1.7758961328647194e17
1.7069949340384045e17	1.792344839818667e17
1.7228054471313994e17	1.8089459000891437e17
1.7387624002162506e17	1.82570072506451e17
1.754867149648145e17	1.842610739233703e17
1.7711210643450906e17	1.859677380310244e17
1.7875255259042317e17	1.8769020993575565e17
1.804081928719388e17	1.894286360915858e17
1.8207916800994624e17	1.9118316431302768e17
1.8376562003881648e17	1.9295394378806038e17
1.8546769230847014e17	1.9474112509124624e17
1.8718552949655754e17	1.965448601969909e17
1.889192776207672e17	1.9836530249298358e17
1.9066908405122518e17	2.0020260679376752e17
1.9243509752303245e17	2.0205692935449907e17
1.9421746814890285e17	2.039284278848589e17
1.9601634743191818e17	2.0581726156313248e17
1.9783188827841702e17	2.0772359105048307e17
1.9966424501097933e17	2.096475785053764e17
2.0151357338155504e17	2.1158938759821853e17
2.033800305846984e17	2.1354918352616026e17
2.052637752709248e17	2.1552713302809846e17
2.0716496756020752e17	2.1752340439988704e17
2.09083769055575e17	2.1953816750972886e17
2.1102034285685878e17	2.2157159381379994e17
2.1297485357455232e17	2.2362385637206838e17
2.149474673437976e17	2.2569512986433085e17
2.169383518385191e17	2.2778559060649203e17
2.1894767628566208e17	2.2989541656704733e17
2.209756114795894e17	2.320247873838247e17
2.2302232979659408e17	2.3417388438095443e17
2.2508800520954573e17	2.3634289058608346e17
2.271728133026912e17	2.385319907478606e17
2.2927693128656486e17	2.4074137135365952e17
2.3140053801306448e17	2.429712206475932e17
2.3354381399064816e17	2.4522172864878374e17
2.357069413996723e17	2.474930871699133e17
2.3789010410789005e17	2.4978548983608422e17
2.4009348768606518e17	2.5209913210394198e17
2.4231727942375907e17	2.544342112811341e17
2.445616683452449e17	2.5679092654605526e17
2.4682684522556874e17	2.5916947896791344e17
2.4911300260677962e17	2.6157007152714083e17
2.5142033481427965e17	2.6399290913610845e17
2.5374903797335613e17	2.6643819866020973e17
2.560993100258462e17	2.68906148939279e17
2.5847135074695584e17	2.713969708093627e17
2.6086536176225558e17	2.7391087712488157e17
2.63281546564802e17	2.7644808278113357e17
2.6572011053244957e17	2.7900880473721053e17
2.6818126094530182e17	2.8159326203929286e17
2.706652070033236e17	2.8420167584433296e17
2.7317215984413846e17	2.8683426944418195e17
2.7570233256095827e17	2.8949126829009126e17
2.7825594022071146e17	2.921729000176847e17
2.8083319988231754e17	2.948793944723312e17
2.8343433061513034e17	2.97610983734976e17
2.8605955351757507e17	3.003679021484386e17
2.8870909173592346e17	3.0315038634414285e17
2.913831704832777e17	3.059586752693562e17
2.940820170587067e17	3.0879301021487706e17
2.968058608665596e17	3.1165363484322214e17
2.995549334359822e17	3.1454079521733357e17
3.0232946844057766e17	3.174547398297481e17
3.051297017182858e17	3.2039571963233466e17
3.07955871291423e17	3.233639880665183e17
3.108082173869057e17	3.2635980109404717e17
3.1368698245668864e17	3.293834172283208e17
3.1659241119835206e17	3.324350975662355e17
3.1952475057592006e17	3.35515105820626e17
3.2248424984084454e17	3.3862370835324755e17
3.254711605531841e17	3.417611742083351e17
3.284857366030054e17	3.44927775146775e17
3.3152823423194234e17	3.4812378568082323e17
3.345989120549961e17	3.513494831094716e17
3.376980310825095e17	3.546051475543861e17
3.408258547423445e17	3.5789106199646534e17
3.439826489022935e17	3.612075123130474e17
3.4716868189265594e17	3.645547873157047e17
3.503842245290661e17	3.67933178788717e17
3.5362955013550464e17	3.7134298152815904e17
3.5690493456752224e17	3.7478449338163686e17
3.602106562357081e17	3.782580152887148e17
3.635469961293318e17	3.817638513219492e17
3.669142378402479e17	3.853023087286476e17
3.703126675869931e17	3.888736979732642e17
3.7374257423910566e17	3.924783327804721e17
3.772042493417009e17	3.961165301789571e17
3.806979871402284e17	3.997886105458533e17
3.842240846055045e17	4.0349489765191123e17
3.877828414589461e17	4.072357187073429e17
3.9137456019803757e17	4.110114044083656e17
3.9499954612206554e17	4.1482228898447866e17
3.986581073580439e17	4.1866871024640896e17
4.023505548869277e17	4.2255100963481574e17
4.060772025700369e17	4.264695322696759e17
4.098383671757253e17	4.304246270003936e17
4.1363436840632864e17	4.3441664645665786e17
4.174655289253135e17	4.384459470999799e17
4.213321743847272e17	4.4251288927600064e17
4.252346334528686e17	4.46617837267498e17
4.2917323784221485e17	4.507611593481142e17
4.3314832233764115e17	4.549432278368565e17
4.3716022482485024e17	4.5916441915326496e17
4.412092863191172e17	4.6342511387337306e17
4.45295850994266e17	4.677256967863666e17
4.494202662119133e17	4.7206655695195354e17
4.5358288255102e17	4.764480877585237e17
4.5778405383766163e17	4.808706869819752e17
4.620241371751294e17	4.853347568453195e17
4.663034929742736e17	4.8984070407898643e17
