E	Eg
1.754867149648145e17	3.5543189240385254e17
1.7711210643450906e17	3.5892320117147046e17
1.7875255259042317e17	3.6245634176530106e17
1.804081928719388e17	3.660321072676662e17
1.8207916800994624e17	3.696513138485908e17
1.8376562003881648e17	3.733148015658884e17
1.8546769230847014e17	3.770234351959565e17
1.8718552949655754e17	3.807781050966708e17
1.889192776207672e17	3.8457972810382726e17
1.9066908405122518e17	3.884292484625517e17
1.9243509752303245e17	3.923276387953417e17
1.9421746814890285e17	3.9627590110830246e17
1.9601634743191818e17	4.002750678373352e17
1.9783188827841702e17	4.0432620293613325e17
1.9966424501097933e17	4.084304030078109e17
2.0151357338155504e17	4.12588798482247e17
2.033800305846984e17	4.168025548411913e17
2.052637752709248e17	4.210728738933355e17
2.0716496756020752e17	4.254009951017642e17
2.09083769055575e17	4.297881969660591e17
2.1102034285685878e17	4.342357984617906e17
2.1297485357455232e17	4.3874516053997766e17
2.149474673437976e17	4.433176876893526e17
2.169383518385191e17	4.479548295644957e17
2.1894767628566208e17	4.5265808268284365e17
2.209756114795894e17	4.574289921939538e17
2.2302232979659408e17	4.6226915372444666e17
2.2508800520954573e17	4.671802153022478e17
2.271728133026912e17	4.721638793640033e17
2.2927693128656486e17	4.772219048496311e17
2.3140053801306448e17	4.8235610938831514e17
2.3354381399064816e17	4.875683715803626e17
2.357069413996723e17	4.928606333793182e17
2.3789010410789005e17	4.9823490258032685e17
2.4009348768606518e17	5.0369325541810515e17
2.4231727942375907e17	5.092378392818435e17
2.445616683452449e17	5.1487087555164755e17
2.4682684522556874e17	5.205946625629314e17
2.4911300260677962e17	5.2641157870517126e17
2.5142033481427965e17	5.323240856615558e17
2.5374903797335613e17	5.3833473179173946e17
2.560993100258462e17	5.444461556880519e17
2.5847135074695584e17	5.506610898701854e17
2.6086536176225558e17	5.569823646692518e17
2.63281546564802e17	5.63412912280626e17
2.6572011053244957e17	5.699557710224651e17
2.6818126094530182e17	5.766140897648539e17
2.706652070033236e17	5.833911325977021e17
2.7317215984413846e17	5.902902837041507e17
2.7570233256095827e17	5.973150524541738e17
2.7825594022071146e17	6.044690787842388e17
2.8083319988231754e17	6.117561387726762e17
2.8343433061513034e17	6.19180150527718e17
2.8605955351757507e17	6.26745180327022e17
2.8870909173592346e17	6.344554490737473e17
2.913831704832777e17	6.423153390615316e17
2.940820170587067e17	6.503294010470202e17
2.968058608665596e17	6.585023617247424e17
2.995549334359822e17	6.668391314738707e17
3.0232946844057766e17	6.753448125710532e17
3.051297017182858e17	6.840247077589614e17
3.07955871291423e17	6.928843292072333e17
3.108082173869057e17	7.019294079891217e17
3.1368698245668864e17	7.11165903969159e17
3.1659241119835206e17	7.206000161876863e17
3.1952475057592006e17	7.302381937835762e17
3.2248424984084454e17	7.400871474347566e17
3.254711605531841e17	7.501538613408753e17
3.284857366030054e17	7.604456058536077e17
3.3152823423194234e17	7.709699506709933e17
3.345989120549961e17	7.817347787288026e17
3.376980310825095e17	7.927483007963887e17
3.408258547423445e17	8.040190707007553e17
3.439826489022935e17	8.155560014362186e17
3.4716868189265594e17	8.273683819824288e17
3.503842245290661e17	8.394658949309088e17
3.5362955013550464e17	8.51858635066834e17
3.5690493456752224e17	8.645571288149984e17
3.602106562357081e17	8.775723545555231e17
3.635469961293318e17	8.909157641130548e17
3.669142378402479e17	9.04599305131192e17
3.703126675869931e17	9.186354446069596e17
3.7374257423910566e17	9.330371934749496e17
3.772042493417009e17	9.478181325703898e17
3.806979871402284e17	9.629924395750331e17
3.842240846055045e17	9.785749173569207e17
3.877828414589461e17	9.945810236489869e17
3.9137456019803757e17	1.0110269021468128e18
3.9499954612206554e17	1.0279294147626668e18
3.986581073580439e17	1.0453061757947636e18
4.023505548869277e17	1.0631755872268438e18
4.060772025700369e17	1.0815568758626726e18
4.098383671757253e17	1.1004701319908019e18
4.1363436840632864e17	1.119936349593592e18
4.174655289253135e17	1.139977468469832e18
4.213321743847272e17	1.1606164178961882e18
4.252346334528686e17	1.1818771623372703e18
4.2917323784221485e17	1.2037847485364925e18
4.3314832233764115e17	1.2263653549767854e18
4.3716022482485024e17	1.2496463427684849e18
4.412092863191172e17	1.273656308589871e18
4.45295850994266e17	1.2984251395315282e18
4.494202662119133e17	1.3239840696241917e18
4.5358288255102e17	1.3503657385153293e18
4.5778405383766163e17	1.377604251515016e18
4.620241371751294e17	1.4057352421484227e18
4.663034929742736e17	1.4347959359356652e18
4.7062248498412717e17	1.4648252157833382e18
4.7498148032285146e17	1.4958636895063695e18
4.793808495089107e17	1.5279537586480023e18
4.838209664925937e17	1.5611396815163978e18
4.883022086877885e17	1.5954676797208476e18
4.928249570040503e17	1.630985941640392e18
4.973895958790078e17	1.6677447652949844e18
5.0199651331100794e17	1.705796598868384e18
5.066461008921248e17	1.745196122841487e18
5.1133875384143315e17	1.7860003262549422e18
5.160748710385897e17	1.8282685827768773e18
5.208548550577676e17	1.8720627275880748e18
5.256791122018419e17	1.9174471330071158e18
5.3054805253695526e17	1.964488785129756e18
5.354620899273613e17	2.0132573583820068e18
5.404216420705904e17	2.0638252911156544e18
5.4542713053298477e17	2.1162678534722596e18
