E	Eg
1.0e17	1.5000026692414595e17
1.0092621909870443e17	1.513896275911719e17
1.0186101701559773e17	1.527918600573897e17
1.0280447320933077e17	1.5420708387803536e17
1.0375666787451891e17	1.5563541974668362e17
1.0471768194855203e17	1.5707698950834922e17
1.0568759711848008e17	1.5853191617290957e17
1.066664958279541e17	1.6000032392883853e17
1.0765446128423138e17	1.614823381572738e17
1.0865157746525418e17	1.629780854464452e17
1.09657929126781e17	1.644876936064507e17
1.10673601809597e17	1.6601129168443373e17
1.116986818467825e17	1.675490099801464e17
1.1273325637104848e17	1.6910098006192803e17
1.1377741332214949e17	1.7066733478313747e17
1.148312414543511e17	1.72248208299013e17
1.158948303439807e17	1.7384373608403526e17
1.169682703970387e17	1.7545405494976755e17
1.1805165285688032e17	1.770793030632148e17
1.1914506981197797e17	1.78719619965738e17
1.2024861420374123e17	1.803751465925113e17
1.2136237983442368e17	1.8204602529258518e17
1.2248646137509333e17	1.8373239984955254e17
1.2362095437367666e17	1.854344155028488e17
1.2476595526308736e17	1.8715221896973574e17
1.2592156136941509e17	1.8888595846795533e17
1.2708787092020542e17	1.9063578373912515e17
1.2826498305280626e17	1.9240184607287475e17
1.2945299782279134e17	1.9418429833175805e17
1.3065201621247253e17	1.959832949769983e17
1.3186214013947485e17	1.977989920950534e17
1.3308347246540706e17	1.9963154742508246e17
1.3431611700460181e17	2.014811203873117e17
1.355601785329366e17	2.033478721123424e17
1.3681576279674762e17	2.0523196547146746e17
1.3808297652180923e17	2.071335651079791e17
1.3936192742241378e17	2.0905283746955936e17
1.4065272421052392e17	2.1098995084175843e17
1.4195547660500987e17	2.1294507538260477e17
1.4327029534098354e17	2.1491838315841642e17
1.4459729217920195e17	2.1691004818081018e17
1.4593657991557517e17	2.189202464449931e17
1.4728827239075046e17	2.2094915596935738e17
1.486524844997854e17	2.2299695683642192e17
1.5002933220192227e17	2.250638312351969e17
1.514189325304352e17	2.271499635049658e17
1.5282140360258646e17	2.2925554018059606e17
1.5423686462966304e17	2.3138075003937376e17
1.556654359271059e17	2.335257841494388e17
1.5710723892474554e17	2.356908359198808e17
1.5856239617711373e17	2.3787610115251603e17
1.600310313738695e17	2.4008177809543946e17
1.6151326935030928e17	2.423080674983741e17
1.630092360979738e17	2.445551726698797e17
1.6451905877536675e17	2.4682329953650653e17
1.6604286571875296e17	2.4911265670389994e17
1.675807864530762e17	2.5142345551997363e17
1.6913295170296506e17	2.5375591014016298e17
1.7069949340384045e17	2.5611023759483952e17
1.7228054471313994e17	2.584866578589711e17
1.7387624002162506e17	2.6088539392403974e17
1.754867149648145e17	2.6330667187233962e17
1.7711210643450906e17	2.6575072095367978e17
1.7875255259042317e17	2.6821777366456758e17
1.804081928719388e17	2.707080658299738e17
1.8207916800994624e17	2.732218366876887e17
1.8376562003881648e17	2.7575932897540883e17
1.8546769230847014e17	2.783207890205713e17
1.8718552949655754e17	2.8090646683303126e17
1.889192776207672e17	2.835166162006832e17
1.9066908405122518e17	2.8615149478804422e17
1.9243509752303245e17	2.88811364237946e17
1.9421746814890285e17	2.914964902763606e17
1.9601634743191818e17	2.9420714282046074e17
1.9783188827841702e17	2.9694359609002765e17
1.9966424501097933e17	2.997061287021574e17
2.0151357338155504e17	3.0249502388990534e17
2.033800305846984e17	3.05310569423469e17
2.052637752709248e17	3.081530579363976e17
2.0716496756020752e17	3.110227869545817e17
2.09083769055575e17	3.139200590494548e17
2.1102034285685878e17	3.168451819751449e17
2.1297485357455232e17	3.197984688096329e17
